mcc,mnc,arfcn
202,1,10714
202,1,10739
202,1,10764
202,1,2938
202,10,10664
202,10,10689
202,5,10564
202,5,10589
202,5,10614
202,5,10639
202,5,3062
204,16,10811
204,16,10836
204,4,10612
204,8,10761
204,8,3011
206,1,10564
206,1,10589
206,1,2991
206,10,10811
206,10,10836
206,10,3085
206,20,10639
206,20,2958
208,1,10712
208,1,10787
208,1,10812
208,1,10836
208,1,3011
208,10,10564
208,10,10589
208,10,10614
208,10,10762
208,10,3075
208,15,10737
208,15,3037
208,20,10639
208,20,10664
208,20,10688
208,20,2950
212,1,3012
212,10,10836
213,3,10565
213,3,10590
213,3,2963
213,3,2988
213,3,3037
214,1,10713
214,1,10738
214,1,10763
214,1,3062
214,1,3087
214,3,10638
214,3,10663
214,3,10688
214,3,2959
214,4,10563
214,7,10788
214,7,10813
214,7,10838
214,7,3000
214,7,3011
214,7,3032
214,7,3034
216,1,10713
216,1,10738
216,1,10763
216,1,2959
216,30,10564
216,30,10588
216,30,10612
216,30,2959
216,70,10638
216,70,10663
216,70,10688
216,70,3027
218,3,10637
218,3,10662
218,3,10687
218,3,3036
218,5,10713
218,5,10738
218,5,10763
218,5,2987
218,90,10788
218,90,10813
218,90,10838
218,90,3075
219,1,10562
219,1,10587
219,1,3025
219,10,10762
219,10,10787
219,10,2974
219,10,2994
219,2,10637
219,2,10662
219,2,2939
220,1,10788
220,1,10813
220,1,10838
220,1,3069
220,3,10638
220,3,10663
220,3,10688
220,3,3010
220,5,10712
220,5,10737
220,5,10762
221,2,3060
222,1,10638
222,1,10663
222,1,10688
222,1,10713
222,1,2963
222,10,10788
222,10,10813
222,10,10838
222,10,3038
222,50,10563
222,50,10588
222,50,3063
222,88,10563
222,88,10588
222,88,3063
222,99,10563
222,99,10588
222,99,10713
222,99,10738
222,99,10763
222,99,2938
222,99,3063
226,1,10786
226,1,10811
226,1,10836
226,1,2938
226,10,10713
226,10,10738
226,10,10763
226,10,3083
226,5,10564
226,5,2988
226,6,10639
226,6,10664
226,6,10689
226,6,3025
228,1,10713
228,1,3050
228,1,3071
228,1,3074
228,2,10589
228,2,10762
228,2,2938
228,2,2963
228,2,3005
228,2,3011
228,3,10762
228,3,10787
228,3,2938
228,3,2963
230,1,10762
230,1,10787
230,1,10812
230,1,10836
230,2,10564
230,2,10588
230,3,10737
231,1,10563
231,1,10588
231,1,10613
231,1,10637
231,1,2988
231,2,10663
231,2,10688
231,2,10713
231,6,10763
231,6,10788
231,6,10813
231,6,2952
232,1,10564
232,1,10588
232,1,10613
232,1,10637
232,1,3087
232,10,10662
232,10,10687
232,3,10662
232,3,10687
232,3,10836
232,3,2938
232,3,2961
232,5,10662
232,5,10687
234,10,10637
234,10,10661
234,10,2963
234,10,3050
234,15,10687
234,15,10712
234,15,2938
234,15,2987
234,20,10564
234,20,10588
234,20,10612
234,3,10613
234,3,10638
234,3,2937
234,3,2963
234,30,10761
234,30,10786
234,33,10811
234,50,10712
234,50,3063
234,55,10737
234,55,10762
234,55,10813
234,55,10838
234,55,2988
234,55,3013
234,58,10564
234,58,3043
238,1,10687
238,1,3041
238,2,10713
238,2,2940
238,2,3087
238,20,10713
238,20,10738
238,20,2940
238,20,3087
238,6,10562
238,6,10587
238,6,10612
238,6,2997
238,66,10713
238,66,10738
238,66,2940
238,66,3087
240,1,10762
240,1,10787
240,1,10812
240,1,10836
240,1,3084
240,2,10638
240,2,10663
240,2,10688
240,2,10712
240,2,10737
240,2,2938
240,4,10638
240,7,10762
240,7,10787
240,7,10812
240,7,10836
240,8,10563
240,8,10588
240,8,10613
240,8,10638
240,8,10663
240,8,10688
242,1,10712
242,1,10737
242,1,3088
242,2,10564
242,2,10588
242,2,2963
242,2,2996
244,12,10663
244,12,10687
244,12,2942
244,12,2963
244,12,3022
244,14,10564
244,14,10589
244,14,2938
244,5,10563
244,5,10588
244,5,3084
244,91,10663
244,91,10687
244,91,10812
244,91,10837
244,91,2963
244,91,3022
246,1,10663
246,1,3008
246,2,10638
246,2,2938
246,3,10762
246,3,10787
246,3,3087
247,1,10563
247,1,10588
247,1,2988
247,1,3010
247,2,10762
247,2,10787
247,2,10812
247,2,3087
247,5,10663
247,5,10688
247,5,2948
248,1,10713
248,1,3086
248,2,10787
248,2,10812
248,2,10837
248,2,2958
248,3,10663
248,3,10688
248,3,3010
250,1,10713
250,1,10737
250,1,10738
250,1,10762
250,1,2987
250,1,2988
250,1,3009
250,1,3011
250,1,3034
250,1,3036
250,1,3044
250,1,3067
250,2,10638
250,2,10662
250,2,10687
250,2,2938
250,2,2988
250,2,2995
250,2,3009
250,2,3010
250,2,3012
250,2,3020
250,2,3028
250,2,3033
250,2,3040
250,2,3043
250,2,3056
250,2,3059
250,2,3071
250,2,3072
250,2,3075
250,2,3076
250,2,3077
250,2,3079
250,2,3088
250,20,10563
250,20,10564
250,20,10583
250,20,10587
250,20,10588
250,20,10612
250,20,2989
250,20,2994
250,20,3042
250,20,3061
250,30,10638
250,30,10662
250,30,10687
250,32,10713
250,32,10738
250,32,10762
250,33,10638
250,34,10638
250,34,10662
250,60,10788
250,60,10813
250,60,10837
250,8,3043
250,99,10788
250,99,10813
250,99,10836
250,99,2988
250,99,3007
250,99,3012
250,99,3014
250,99,3036
250,99,3062
250,99,3065
255,1,10712
255,1,10737
255,1,10762
255,3,10787
255,3,10812
255,3,10836
255,6,10564
255,6,10588
255,6,10612
255,7,10662
255,99,10637
255,99,10662
255,99,10687
255,99,10737
257,1,10563
257,1,10588
257,1,10613
257,1,10638
257,1,3013
257,1,3078
257,2,10663
257,2,10688
257,2,10713
257,2,10738
257,2,2983
257,2,2987
257,4,10763
257,4,10788
259,1,10640
259,1,10664
259,1,10688
259,1,2937
