Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,Recent_Search,0,0
2,Secex_Account,0,1
3,Secex_App,0,6
4,Secex_Convo,0,4
5,Secex_Secure_Room,4,0
6,Secex_Error,0,0
7,Secex_User_Error,6,0
8,Secex_KeyPair,0,25
9,Secex_PrivacyMan,0,0
10,Secex_User,0,3
11,Wickr_file,0,2
12,Wickr_FileVault,0,0
13,Wickr_Link,0,0
14,Wickr_Message,0,13
15,Wickr_Network,0,1
16,Wickr_QuickResponse,0,1610
17,Wickr_Tombstone,0,0
18,Wickr_TTrust,0,0
