Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,REMCDChangeTrackingState,0,0
2,REMCDMigrationState,0,0
3,REMCDObject,0,1
4,REMCDAccount,3,0
5,REMCDAlarm,3,0
6,REMCDAlarmTrigger,3,0
7,REMCDAlarmDateTrigger,6,0
8,REMCDAlarmLocationTrigger,6,0
9,REMCDAlarmTimeIntervalTrigger,6,0
10,REMCDAlarmVehicleTrigger,6,0
11,REMCDAttachment,3,0
12,REMCDFileAttachment,11,0
13,REMCDAudioAttachment,12,0
14,REMCDImageAttachment,12,0
15,REMCDURLAttachment,11,0
16,REMCDAuxiliaryChangeInfo,3,0
17,REMCDAuxiliaryReminderChangeInfo,16,0
18,REMCDAuxiliaryReminderChangeDeleteInfo,17,0
19,REMCDAuxiliaryReminderChangeMoveInfo,17,0
20,REMCDCalDAVNotification,3,0
21,REMCDList,3,0
22,REMCDRecurrenceRule,3,0
23,REMCDReminder,3,0
24,REMCDSharee,3,0
25,REMCDReplicaManager,0,0
26,REMCKCloudState,0,1
27,REMCKServerChangeToken,0,2
28,REMCKSharedObjectOwnerName,0,0
16001,CHANGE,0,3
16002,TRANSACTION,0,4
16003,TRANSACTIONSTRING,0,12
