ID,timestamp,checkpoint,decisionMaker,decisionTime,durationPrediction,engagementModelVersion,engagementProbability,modelVersion,status,timeTillTopOff
1913,1586835100.3602972,0,,0,-10,3.0,-100,3.0,1,3925
1914,1586837140.0172772,0,,0,-10,3.0,-100,3.0,1,4262
1915,1586837297.4370291,0,,0,-10,3.0,-100,3.0,1,4262
1916,1586838867.1419961,0,,0,-10,3.0,-100,3.0,1,4598
1917,1586839235.519539,0,,0,-10,3.0,-100,3.0,1,4598
1918,1586843025.7778041,0,,0,-10,3.0,-100,3.0,1,4934
1919,1586847148.8555472,0,,0,-10,3.0,-100,3.0,1,5943
1920,1586852637.1844082,0,,0,-10,3.0,-100,3.0,1,6615
1921,1586854133.3322,0,,0,-10,3.0,-100,3.0,1,6951
1922,1586854975.7333832,0,,0,-10,3.0,-100,3.0,1,7288
1923,1586855702.838172,0,,0,-10,3.0,-100,3.0,1,7624
1924,1586856477.313893,0,,0,-10,3.0,-100,3.0,1,7684
1925,1586856546.7426763,0,,0,-10,3.0,-100,3.0,1,7684
1926,1586862661.547666,0,,0,-10,3.0,-100,3.0,1,7864
1927,1586862732.166526,0,,0,-10,3.0,-100,3.0,1,7924
1928,1586863080.371418,0,,0,-10,3.0,-100,3.0,1,7924
1929,1586865963.1311002,0,,0,-10,3.0,-100,3.0,1,8104
1930,1586867007.7717552,0,,0,-10,3.0,-100,3.0,1,8164
1931,1586867704.2678561,0,,0,-10,3.0,-100,3.0,1,8224
1932,1586867873.178843,0,,0,-10,3.0,-100,3.0,1,8224
1933,1586868241.842196,0,,0,-10,3.0,-100,3.0,1,8284
1934,1586868282.7907553,0,,0,-10,3.0,-100,3.0,1,8284
1935,1586869225.63592,0,,0,-10,3.0,-100,3.0,1,8284
1936,1586871775.373969,0,,0,-10,3.0,-100,3.0,1,8524
1937,1586871836.781064,0,,0,-10,3.0,-100,3.0,1,8524
1938,1586872123.509972,0,,0,-10,3.0,-100,3.0,1,8524
1939,1586872369.9514081,0,,0,-10,3.0,-100,3.0,1,8524
1940,1586872390.4911003,0,,0,-10,3.0,-100,3.0,1,8584
1941,1586872431.471259,0,,0,-10,3.0,-100,3.0,1,8584
1942,1586872472.471589,0,,0,-10,3.0,-100,3.0,1,8644
1943,1586872492.903388,0,,0,-10,3.0,-100,3.0,1,8764
1944,1586872574.9077501,0,,0,-10,3.0,-100,3.0,1,8764
1945,1586872656.8017612,0,,0,-10,3.0,-100,3.0,1,8764
1946,1586872783.486488,0,,0,-10,3.0,-100,3.0,1,8764
1947,1586872807.884282,0,,0,-10,3.0,-100,3.0,1,8764
1948,1586872992.209272,0,,0,-10,3.0,-100,3.0,1,8764
1949,1586873340.4991553,0,,0,-10,3.0,-100,3.0,1,8764
1950,1586874897.1683493,0,,0,-10,3.0,-100,3.0,1,8824
1951,1586875921.196695,0,,0,-10,3.0,-100,3.0,1,8884
1952,1586876986.9240792,0,,0,-10,3.0,-100,3.0,1,8944
1953,1586879793.6849551,0,,0,-10,3.0,-100,3.0,1,9124
1954,1586879855.106999,0,,0,-10,3.0,-100,3.0,1,9124
1955,1586880100.869934,0,,0,-10,3.0,-100,3.0,1,9124
1956,1586885385.7465482,0,,0,-10,3.0,-100,3.0,1,9484
1957,1586887741.729207,0,,0,-10,3.0,-100,3.0,1,9604
1958,1586887885.081015,0,,0,-10,3.0,-100,3.0,1,9604
1959,1586889011.9199533,0,,0,-10,3.0,-100,3.0,1,9724
1960,1586889175.733871,0,,0,-10,3.0,-100,3.0,1,9724
1961,1586889278.1421652,0,,0,-10,3.0,-100,3.0,1,9724
1962,1586889687.745027,0,,0,-10,3.0,-100,3.0,1,9724
