ROWID,name,manufacturer,model,hardware,firmware,software,localIdentifier,FDAUDI,creation_date,sync_provenance,uuid
1,iPhone,Apple Inc.,iPhone,"iPhone8,4",,13.3.1,,,606522800.75268,0,b'\xea\xe5\xc64I\xe1H\x85\x8c\xec\xae\x81 \xb0\xa3u'
2,__NONE__,,,,,,__NONE__,,606522800.770089,0,b'\x89B&\xad\x1e)As\xa4\r\r\xe9I(\xc0\x81'
3,Apple Watch,Apple Inc.,Watch,"Watch4,3",,6.1.3,,,606515328.950322,1,b'\x81z\xa4]4OHX\x9e\x80\xcf\xa5\xcds\x1f\x89'
4,__NONE__,,,,,,__NONE__,,606515328.950914,1,b'\xcb9\xce\xb2WbI\xdf\x9b\xdf\xe8u\xc4\x85A\x10'
5,AirPods,Apple Inc.,0x2002,,,,7C:04:D0:89:89:A0-tacl,,607028774.240871,0,b'[\xb7W.\xf2\xd2O\x83\xa8!\x19d\xd7l\xfe\xe8'
6,AirPods Pro,Apple Inc.,0x200e,,,,38:EC:0D:E2:49:CF-tacl,,607374488.763455,1,b'\x853l\x8c:\xa1B5\xa23\x81\xd1]pG*'
7,iPhone,Apple Inc.,iPhone,"iPhone8,4",,13.4.1,,,608498804.236909,0,b'}\xbfO\x08\xd9LC\x8d\xa5\xca\x03\x87\x1c\x11\xf1\x1b'
8,Apple Watch,Apple Inc.,Watch,"Watch4,3",,6.2.1,,,608519760.67135,1,b'JP\x07bI\x83F8\x9d\xfd\x98\xe6\x97\xde\xa4\xe4'
