Z_25ALBUMS,Z_3ALBUMLISTS,Z_FOK_25ALBUMS
38,6,29696
37,6,28672
36,6,4096
34,6,26624
33,6,11264
32,6,15360
31,6,23552
30,6,13312
29,6,27648
28,6,24576
26,6,18432
24,6,21504
23,6,17408
22,6,10240
21,6,12288
18,6,7168
17,6,8192
16,6,14336
14,6,3072
13,6,6144
12,6,27136
10,6,9216
9,6,22528
8,6,20480
7,6,19456
6,6,16384
2,6,2048
1,6,5120
39,6,33792
40,6,34816
