Z_PK,Z_ENT,Z_OPT,ZTOTALTIMEINSECONDS,ZBLOCK,ZIDENTIFIER
873,26,1,2,1026,DH1005
874,26,1,23,945,DH0013
875,26,1,3,1017,DH0013
876,26,1,108,873,DH1003
877,26,1,3,945,DH0012
878,26,1,120,961,DH0013
879,26,1,63,858,DH1005
880,26,1,2,983,DH1004
881,26,1,27,964,DH1009
882,26,1,3,1119,DH1005
883,26,1,397,1130,DH0012
884,26,1,33,966,DH0013
885,26,1,143,1079,DH1002
886,26,1,83,864,DH1004
887,26,1,449,833,DH0013
888,26,1,1,833,DH1003
889,26,1,405,1167,DH1004
890,26,1,30,821,DH1003
891,26,1,311,1110,DH1009
892,26,1,1,1115,DH1009
893,26,1,1660,1065,DH1005
894,26,1,4,1048,DH0012
895,26,1,71,1017,DH1005
896,26,1,314,1108,DH1008
897,26,1,14,1014,DH0012
898,26,1,24,860,DH1004
899,26,1,38,843,DH0013
900,26,1,7,1194,DH0013
901,26,1,1138,1184,DH0012
902,26,1,224,1183,DH1009
903,26,1,214,1194,DH1005
904,26,1,98,1194,DH1009
905,26,1,381,1183,DH0013
906,26,1,29,1187,DH0013
907,26,2,769,1186,DH0012
908,26,2,420,1186,DH1009
909,26,1,24,1186,DH1004
910,26,1,23,1186,DH0013
911,26,2,2088,1196,DH1002
912,26,2,66,1196,DH0013
913,26,1,270,1197,DH1002
914,26,1,5,1196,DH1009
915,26,1,29,1197,DH1009
916,26,1,972,1196,DH1004
917,26,1,87,1196,DH1005
918,26,1,81,1205,DH1002
919,26,1,5,1210,DH1005
920,26,1,33,1206,DH0013
921,26,1,7,1210,DH1002
922,26,1,11,1222,DH1003
923,26,1,11,1222,DH1007
924,26,1,86,1222,DH0013
925,26,1,649,1220,DH1002
926,26,1,35,1222,DH1005
927,26,1,4,1222,DH0012
928,26,1,17,1221,DH1005
929,26,1,419,1222,DH1002
930,26,1,8,1221,DH0012
931,26,1,2,1220,DH1003
932,26,1,109,1220,DH0012
933,26,1,36,1222,DH1004
934,26,1,4,1221,DH0013
935,26,1,10,1220,DH0013
936,26,1,1766,1221,DH1002
937,26,1,149,1225,DH1004
938,26,1,195,1225,DH0013
939,26,2,486,1225,DH1002
940,26,1,167,1226,DH1002
941,26,1,34,1226,DH1004
