Z_ENT,Z_NAME,Z_SUPER,Z_MAX
1,Avatar,0,1
16001,CHANGE,0,1
16002,TRANSACTION,0,1
16003,TRANSACTIONSTRING,0,3
17001,NSCKDatabaseMetadata,0,1
17002,NSCKExportedObject,0,0
17003,NSCKExportMetadata,0,0
17004,NSCKExportOperation,0,0
17005,NSCKHistoryAnalyzerState,0,1
17006,NSCKImportOperation,0,2
17007,NSCKImportPendingRelationship,0,0
17008,NSCKMetadataEntry,0,7
17009,NSCKMirroredRelationship,0,0
17010,NSCKRecordMetadata,0,1
17011,NSCKRecordZoneMetadata,0,1
