ID,timestamp,Brightness,SliderValue,lux,iDAC,mNits,uAmps
3959,1586827158.857841,0.0,0.0,0,471.0,7142.0,212.0
3960,1586865410.440395,14.239501953125,9332.0,5,918.0,27514.0,821.0
3961,1586865413.254477,0.0,0.0,0,0.0,0.0,0.0
3962,1586865434.522489,0.00152587890625,1.0,0,471.0,7142.0,212.0
3963,1586865439.1150131,0.0,0.0,0,0.0,0.0,0.0
3964,1586865457.488868,21.1334228515625,13850.0,7,1090.0,46126.0,1382.0
3965,1586865461.192924,0.0,0.0,0,0.0,0.0,0.0
3966,1586867861.9993231,32.31048583984375,21175.0,27,1314.0,89943.0,2721.0
3967,1586867863.197566,0.0,0.0,0,0.0,0.0,0.0
3968,1586868225.744296,39.07470703125,25608.0,268,1417.0,122666.0,3696.0
3969,1586868263.573862,0.0,0.0,0,0.0,0.0,0.0
3970,1586868307.215886,32.31048583984375,21175.0,32,1314.0,89943.0,2721.0
3971,1586868308.712274,34.6221923828125,22690.0,41,1352.0,100678.0,3053.0
3972,1586868310.259565,38.87481689453125,25477.0,258,1415.0,121228.0,3694.0
3973,1586868317.518938,0.0,0.0,0,0.0,0.0,0.0
3974,1586872085.6618712,31.768798828125,20820.0,28,1304.0,87323.0,2640.0
3975,1586872087.2241051,34.48028564453125,22597.0,37,1350.0,100076.0,3034.0
3976,1586872095.563015,34.59014892578125,22669.0,-1,1352.0,100678.0,3053.0
3977,1586872095.8865662,0.0,0.0,0,0.0,0.0,0.0
3978,1586872097.382523,35.02349853515625,22953.0,67,1359.0,102776.0,3118.0
3979,1586872098.2542691,36.03515625,23616.0,-1,1374.0,107413.0,3263.0
3980,1586872098.5302782,0.0,0.0,0,0.0,0.0,0.0
3981,1586872105.843029,34.7015380859375,22742.0,44,1353.0,100970.0,3062.0
3982,1586872116.060656,0.0,0.0,0,0.0,0.0,0.0
3983,1586872122.7435832,34.80224609375,22808.0,44,1355.0,101572.0,3081.0
3984,1586872125.746653,35.8856201171875,23518.0,-1,1372.0,106785.0,3243.0
3985,1586872126.0112982,0.0,0.0,0,0.0,0.0,0.0
3986,1586872127.444734,25.01068115234375,16391.0,19,1172.0,58950.0,1771.0
3987,1586872128.691626,36.07025146484375,23639.0,118,1375.0,107732.0,3273.0
3988,1586872135.5994682,36.1907958984375,23718.0,125,1376.0,108059.0,3283.0
3989,1586872137.7670093,0.0,0.0,0,0.0,0.0,0.0
3990,1586872146.6818311,35.76812744140625,23441.0,107,1370.0,106165.0,3224.0
3991,1586872148.0268672,35.888671875,23520.0,112,1372.0,106785.0,3243.0
3992,1586872174.4048543,34.9029541015625,22874.0,80,1357.0,102165.0,3099.0
3993,1586872194.4718351,36.00921630859375,23599.0,114,1374.0,107413.0,3263.0
3994,1586872448.1635923,26.7486572265625,17530.0,35,1211.0,66216.0,1993.0
3995,1586872457.8053083,34.44061279296875,22571.0,35,1349.0,99776.0,3025.0
3996,1586872474.029995,34.44061279296875,22571.0,46,1349.0,99776.0,3025.0
3997,1586872502.3763509,0.0,0.0,0,0.0,0.0,0.0
3998,1586873003.448302,32.9742431640625,21610.0,28,1325.0,92943.0,2814.0
3999,1586873005.042722,36.95526123046875,24219.0,173,1387.0,111617.0,3393.0
4000,1586873006.073796,37.15667724609375,24351.0,174,1390.0,112608.0,3424.0
4001,1586873009.714415,0.0,0.0,0,0.0,0.0,0.0
4002,1586873189.8476863,34.9639892578125,22914.0,-1,1358.0,102466.0,3109.0
4003,1586873190.4942613,0.0,0.0,0,0.0,0.0,0.0
4004,1586873190.9723363,0.00152587890625,1.0,41,471.0,7142.0,212.0
4005,1586873191.1352692,34.48028564453125,22597.0,41,1350.0,100076.0,3034.0
4006,1586873193.348874,36.99493408203125,24245.0,168,1388.0,111953.0,3404.0
4007,1586873197.3277051,0.0,0.0,0,0.0,0.0,0.0
4008,1586876413.9133854,34.33990478515625,22505.0,20,1348.0,99483.0,3016.0
4009,1586876415.082426,0.0,0.0,0,0.0,0.0,0.0
4010,1586876415.4722042,0.00152587890625,1.0,46,876.0,24510.0,714.0
4011,1586876415.6487782,34.68170166015625,22729.0,44,1353.0,100970.0,3062.0
4012,1586876421.9529471,34.80224609375,22808.0,60,1355.0,101572.0,3081.0
4013,1586876423.501965,35.1654052734375,23046.0,69,1361.0,103377.0,3137.0
4014,1586876425.1527543,38.01727294921875,24915.0,170,1403.0,117007.0,3562.0
4015,1586876426.805738,0.0,0.0,0,0.0,0.0,0.0
4016,1586877937.7040663,37.23602294921875,24403.0,176,1391.0,113904.0,3422.0
4017,1586877976.4815621,0.0,0.0,0,0.0,0.0,0.0
4018,1586879790.834927,38.91448974609375,25503.0,260,1415.0,121904.0,3672.0
4019,1586879865.098818,0.0,0.0,0,0.0,0.0,0.0
4020,1586879870.1315522,34.58099365234375,22663.0,38,1351.0,100368.0,3044.0
4021,1586879872.143165,35.650634765625,23364.0,-1,1369.0,105847.0,3214.0
4022,1586879872.410677,0.0,0.0,0,0.0,0.0,0.0
4023,1586884498.2026742,36.41204833984375,23863.0,136,1380.0,109334.0,3322.0
4024,1586884499.398922,36.55242919921875,23955.0,101,1382.0,109989.0,3343.0
4025,1586884508.422235,0.0,0.0,0,0.0,0.0,0.0
4026,1586887722.8411121,34.64202880859375,22703.0,43,1352.0,100678.0,3053.0
4027,1586887724.89013,35.1654052734375,23046.0,69,1361.0,103377.0,3137.0
4028,1586887728.0691812,0.0,0.0,0,0.0,0.0,0.0
4029,1586891517.83239,39.51263427734375,25895.0,290,1423.0,124113.0,3784.0
