Z_PK,Z_ENT,Z_OPT,ZCURRENTLOCALVERSION,ZINCLOUD,ZLATESTVERSIONSYNCEDTOCLOUD,ZCLOUDSYNCINGOBJECT,Z2_CLOUDSYNCINGOBJECT,ZLOCALVERSIONDATE
1,1,4,1,1,1,1,11,607049138.24144
2,1,5,2,1,2,4,12,607048587.79986
3,1,4,2,1,2,3,6,607048587.802303
4,1,5,2,1,2,2,12,607048587.799698
8,1,29,78,1,78,8,9,607048663.368363
11,1,2,2,1,2,11,9,607049140.172708
12,1,3,1,1,1,12,12,607049272.017255
14,1,2,2,1,2,14,9,607049432.230801
