ID,timestamp,Screen
3695,1586827158.439237,0
3696,1586865410.415328,9
3697,1586865412.9477253,0
3698,1586865434.567176,9
3699,1586865438.8350263,0
3700,1586865457.489979,9
3701,1586865460.919168,0
3702,1586867862.011787,9
3703,1586867862.889733,0
3704,1586868225.893486,1
3705,1586868253.272046,9
3706,1586868263.2806191,0
3707,1586868307.2206202,9
3708,1586868317.2562032,0
3709,1586872085.6668072,9
3710,1586872095.5611272,0
3711,1586872097.400752,9
3712,1586872098.2520213,0
3713,1586872105.863173,9
3714,1586872115.7766342,0
3715,1586872122.7452703,9
3716,1586872125.7452931,0
3717,1586872127.4727082,9
3718,1586872137.5113451,0
3719,1586872146.6888843,9
3720,1586872149.065661,15
3721,1586872150.0223022,9
3722,1586872150.1695552,2
3723,1586872160.5912802,3
3724,1586872366.9096432,2
3725,1586872368.2417932,3
3726,1586872375.387949,2
3727,1586872380.2238922,3
3728,1586872436.359677,2
3729,1586872445.9309254,3
3730,1586872448.8790152,9
3731,1586872449.2234452,3
3732,1586872453.0792742,4
3733,1586872454.1344743,3
3734,1586872457.7423072,1
3735,1586872460.7767541,3
3736,1586872494.4815593,2
3737,1586872501.977367,0
3738,1586873003.4622102,9
3739,1586873009.440036,0
3740,1586873189.8525221,9
3741,1586873190.176896,0
3742,1586873190.9752793,9
3743,1586873197.0432563,0
3744,1586876413.940288,9
3745,1586876414.7803342,0
3746,1586876415.4743292,9
3747,1586876426.5017743,0
3748,1586877937.9525752,1
3749,1586877965.2888641,9
3750,1586877976.2029612,0
3751,1586879791.0895681,1
3752,1586879819.493188,9
3753,1586879821.934793,15
3754,1586879823.132364,9
3755,1586879823.327519,2
3756,1586879831.936849,3
3757,1586879860.690288,2
3758,1586879864.783615,0
3759,1586879870.1359391,9
3760,1586879872.1408682,0
3761,1586884498.21056,9
3762,1586884508.097485,0
3763,1586887722.8330712,9
3764,1586887727.7812862,0
3765,1586891517.8856192,9
3766,1586891527.7015471,0
3767,1586896287.2273262,9
3768,1586896287.4065762,0
3769,1586896288.04534,9
3770,1586896307.649851,0
3771,1586903571.7500002,9
3772,1586903581.6768892,0
3773,1586903696.362936,9
3774,1586903706.342982,0
3775,1586904087.866666,9
3776,1586904091.698512,15
3777,1586904093.1060472,9
3778,1586904093.183706,2
3779,1586904107.675024,3
3780,1586906016.9906502,2
3781,1586907729.276766,3
3782,1586907811.0858562,2
3783,1586907855.992085,3
3784,1586908161.5417242,2
3785,1586908226.203701,3
3786,1586908257.696815,2
3787,1586908337.5898142,3
3788,1586908359.6473231,2
3789,1586908824.654272,3
3790,1586908855.3091881,2
3791,1586908860.379244,3
3792,1586909136.9584801,1
3793,1586909180.6893802,3
3794,1586910882.4051971,2
3795,1586910938.948524,3
3796,1586911026.3082442,2
3797,1586911031.528058,3
3798,1586911088.3604822,2
3799,1586911175.7869,3
3800,1586911180.3981001,2
3801,1586911234.2384653,3
3802,1586911268.0673022,2
3803,1586911357.7777252,3
3804,1586911989.9102,2
3805,1586912036.265411,3
3806,1586912061.7425,2
3807,1586912063.174714,3
3808,1586912337.546672,2
3809,1586912343.103588,3
3810,1586912346.3002691,2
3811,1586912347.447426,3
3812,1586912351.246226,2
3813,1586912352.7104402,3
3814,1586912412.6359901,2
3815,1586912443.9998913,3
3816,1586912476.7033672,2
3817,1586912479.576828,3
3818,1586912749.628452,2
3819,1586913545.5480192,0
3820,1586913728.579208,9
3821,1586913729.510662,0
3822,1586913746.914133,9
3823,1586913749.0946064,0
3824,1586913783.935464,9
3825,1586913799.1547132,0
3826,1586913814.0571232,9
3827,1586913824.123747,0
3828,1586948140.227312,9
3829,1586948143.902204,0
3830,1586948148.4505382,9
3831,1586948149.7683263,0
3832,1586948180.5250483,9
3833,1586948182.01656,0
3834,1586953433.9648943,9
3835,1586953438.4043412,0
3836,1586962399.7457252,9
3837,1586962402.949768,0
3838,1586962404.846332,9
3839,1586962406.686462,0
3840,1586962408.152422,9
3841,1586962408.994635,0
3842,1586967395.383875,9
3843,1586967397.8124232,0
3844,1586967412.4643922,9
3845,1586967420.7508311,15
3846,1586967422.3010972,9
3847,1586967422.313035,2
3848,1586967749.1165452,3
3849,1586967830.1687832,2
3850,1586968077.8666751,0
3851,1586970804.8183112,9
3852,1586970807.741753,0
3853,1586970844.097249,9
3854,1586970854.0772753,0
3855,1586972747.3191042,9
3856,1586972751.891355,15
3857,1586972753.6178923,9
3858,1586972756.9503121,15
3859,1586972758.0005941,9
3860,1586972758.1477532,2
3861,1586972762.3727303,3
3862,1586972795.132431,2
3863,1586972798.1148212,0
3864,1586974896.2759762,9
3865,1586974897.4684691,0
