ROWID,template_unique_name,created_date,earned_date,value_in_canonical_unit,value_canonical_unit,creator_device,sync_provenance
1,NewMoveGoalAchieved,606693180.233905,2020-03-23,480.0,kcal,1,1
2,FirstWorkout-HKWorkoutActivityTypeRunning,607029340.337785,2020-03-27,,,1,1
3,PerfectWeekStand,607209549.184229,2020-03-29,8.0,count,1,1
20,NewMoveRecord,607315855.595727,2020-03-30,881.5340000000002,kcal,1,1
21,NewExerciseRecord,607315115.803085,2020-03-30,77.0,min,1,1
22,LongestMoveStreak,607542967.162647,2020-04-02,8.0,count,1,1
23,LongestMoveStreak,607634634.321824,2020-04-03,9.0,count,1,1
24,BestWorkout-HKWorkoutActivityTypeRunning,607635470.841831,2020-04-03,369.85077135753846,kcal,1,1
