Z_PK,Z_ENT,Z_OPT,ZCELEBRATIONVALUE,ZSHOULDPOSTSTATE,ZTEMPLATEID,ZUSESTOPDISMISSBUTTON,ZPRIORITY,ZBACKGROUNDCOLOR,ZBACKGROUNDIMAGEURL,ZBACKGROUNDSTYLE,ZBODY,ZBODYCOLOR,ZCARDID,ZCONTENTSOURCEID,ZDISMISSBUTTONCOLOR,ZFEATURE,ZFEEDBACKENDPOINT,ZFEEDBACKSTATE,ZIMAGEURL,ZINSTANCETIME,ZSTATE,ZTITLE,ZTITLECOLOR,ZTITLEICONURL,ZLEFTACTION,ZRIGHTACTION
1,140,6,,0,1,1,2002.0,#34454f,,dark,A firmware update is available for your Charge 3!,#d8d8d8,a95641a0-1564-11b2-8080-808080808080,FwUp_System_Message,#d8d8d8,wellness,/1.1/user/-/fitbit-now/messageId/a95641a0-1564-11b2-8080-808080808080/feedback.json,,https://static0.fitbit.com/images/mobile/devices/device_select_charge_3.png,2020-04-01T15:06:18.943+0000,dismissed,Charge 3 Update Available,#ffffff,,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonAction^UPDATE TRACKERXdeepLink_\x10\x0ffwup/1254599527\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc7\x00\xd0\x00\xe2\x00\xe7\x00\xf2\x00\xfb\x01\x08\x01\x0b\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x14'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x13U$null\xd3\r\x0e\x0f\x10\x11\x12WNS.keysZNS.objectsV$class\xa0\xa0\x80\x02\xd2\x14\x15\x16\x17Z$classnameX$classes\\NSDictionary\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSW]dlw~\x7f\x80\x82\x87\x92\x9b\xa8\xab\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb4'
2,140,4,,1,1,1,2001.0,#34454f,,dark,Having trouble with notifications on iOS 13? Turn on Share System Notifications for your Fitbit device (look in your phone's Bluetooth settings).,#d8d8d8,87c87560-2c72-11b2-8080-808080808080,iOSNotification_System_Message,#d8d8d8,wellness,/1.1/user/-/fitbit-now/messageId/87c87560-2c72-11b2-8080-808080808080/feedback.json,,,2020-04-01T15:15:53.763+0000,dismissed,Notifications,#ffffff,,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionYREAD MOREXhttpLink_\x108https://help.fitbit.com/articles/en_US/Help_article/1979\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc2\x00\xcb\x01\x06\x01\x0b\x01\x16\x01\x1f\x01,\x01/\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x018'","b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xab\x0b\x0c\x1b\x1c\x1d\x1e\x1f !""#U$null\xd3\r\x0e\x0f\x10\x15\x1aWNS.keysZNS.objectsV$class\xa4\x11\x12\x13\x14\x80\x02\x80\x03\x80\x04\x80\x05\xa4\x16\x17\x18\x19\x80\x06\x80\x07\x80\x08\x80\t\x80\n\\buttonActionUstyleUtitleZbuttonTypeWdismissVbuttonWDISMISSVaction\xd2$%&\'Z$classnameX$classes\\NSDictionary\xa2&(XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00_\x00e\x00l\x00t\x00\x7f\x00\x86\x00\x8b\x00\x8d\x00\x8f\x00\x91\x00\x93\x00\x98\x00\x9a\x00\x9c\x00\x9e\x00\xa0\x00\xa2\x00\xaf\x00\xb5\x00\xbb\x00\xc6\x00\xce\x00\xd5\x00\xdd\x00\xe4\x00\xe9\x00\xf4\x00\xfd\x01\n\x01\r\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x16'"
3,140,3,,1,1,1,99.0,#d9f3f4,,light,"The more you use your Fitbit device, and the more activity you track, the more guidance we can give you. Check back later to see what insights we uncover.",#007a81,04ba5400-2a6e-11e9-825b-336ecf5a73f3,System_Message,#007a81,wellness,/1.1/user/-/fitbit-now/messageId/04ba5400-2a6e-11e9-825b-336ecf5a73f3/feedback.json,,,2019-02-06T19:41:11.000+0000,dismissed,Personalized Insights,#007a81,https://static0.fitbit.com/content/assets/fitbit-now/fitbit_logo.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionVGOT ITVactionWdismiss\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xbf\x00\xc6\x00\xce\x00\xd3\x00\xde\x00\xe7\x00\xf4\x00\xf7\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x15\x16\x17U$null\xd3\r\x0e\x0f\x10\x12\x14WNS.keysZNS.objectsV$class\xa1\x11\x80\x02\xa1\x13\x80\x03\x80\x04UstyleXfeedback\xd2\x18\x19\x1a\x1bZ$classnameX$classes\\NSDictionary\xa2\x1a\x1cXNSObject\x08\x11\x1a$)27ILQSY_fny\x80\x82\x84\x86\x88\x8a\x90\x99\x9e\xa9\xb2\xbf\xc2\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcb'
4,140,3,,1,1,1,2000.0,#26343e,,dark,"We're offering a 90-day free trial of Fitbit Premium to help you stay active at home, eat healthy, sleep better & manage stress.",#ffffff,f64ad860-6de5-11ea-ac06-29c237cb7a7c,premium_90_days_trial,#ffffff,wellness,/1.1/user/-/fitbit-now/messageId/f64ad860-6de5-11ea-ac06-29c237cb7a7c/feedback.json,,,2020-03-24T00:00:07.000+0000,dismissed,Take care of yourself,#ffffff,https://static0.fitbit.com/content/assets/fitbit-now/fitbit_logo.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonAction[Get startedXdeepLink_\x10<upsell?trigger_feature=first_one_on_us&trigger_view=now_card\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc4\x00\xcd\x01\x0c\x01\x11\x01\x1c\x01%\x012\x015\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01>'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x13U$null\xd3\r\x0e\x0f\x10\x11\x12WNS.keysZNS.objectsV$class\xa0\xa0\x80\x02\xd2\x14\x15\x16\x17Z$classnameX$classes\\NSDictionary\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSW]dlw~\x7f\x80\x82\x87\x92\x9b\xa8\xab\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb4'
5,140,3,,1,1,1,100.0,#d9f3f4,,light,"Your activity and progress for the day are shown below. See steps, sleep and all the stats you love! You can view, log and order them any way you like.",#007a81,fb98ae80-2a6d-11e9-9c2d-09d91c2b3d0b,System_Message,#007a81,wellness,/1.1/user/-/fitbit-now/messageId/fb98ae80-2a6d-11e9-9c2d-09d91c2b3d0b/feedback.json,,,2019-02-06T19:41:11.000+0000,dismissed,Welcome to Today,#007a81,https://static0.fitbit.com/content/assets/fitbit-now/fitbit_logo.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionVGOT ITVactionWdismiss\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xbf\x00\xc6\x00\xce\x00\xd3\x00\xde\x00\xe7\x00\xf4\x00\xf7\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x13U$null\xd3\r\x0e\x0f\x10\x11\x12WNS.keysZNS.objectsV$class\xa0\xa0\x80\x02\xd2\x14\x15\x16\x17Z$classnameX$classes\\NSDictionary\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSW]dlw~\x7f\x80\x82\x87\x92\x9b\xa8\xab\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb4'
6,140,6,,1,1,1,2001.0,#d9f3f4,,light,"Your Wellness Report includes data about your health, weight, sleep and activity. It'll help you start a meaningful conversation at your next checkup.",#007a81,edd2cfc0-0fc3-11b2-8080-808080808080,Upsell_Wellness_Reports_System_Message,#007a81,wellness,/1.1/user/-/fitbit-now/messageId/edd2cfc0-0fc3-11b2-8080-808080808080/feedback.json,,,2020-04-01T15:06:19.049+0000,dismissed,Get Your Wellness Report,#007a81,,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionZGet ReportXdeepLink_\x10)discover/health-wellness/wellness_reports\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc3\x00\xcc\x00\xf8\x00\xfd\x01\x08\x01\x11\x01\x1e\x01!\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01*'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x13U$null\xd3\r\x0e\x0f\x10\x11\x12WNS.keysZNS.objectsV$class\xa0\xa0\x80\x02\xd2\x14\x15\x16\x17Z$classnameX$classes\\NSDictionary\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSW]dlw~\x7f\x80\x82\x87\x92\x9b\xa8\xab\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb4'
7,140,3,,1,1,1,6.25,#5A50B3,,light,Light sleep doesn't mean weak sleep! Your body actually performs a number of important functions during this sleep stage. The name simply refers to how conscious you are.,#FFFFFF,0ee1b860-1533-11e9-b7c7-d3f58b721286,insights,#FFFFFF,wellness,/1.1/user/-/fitbit-now/messageId/0ee1b860-1533-11e9-b7c7-d3f58b721286/feedback.json,,,2020-04-04T10:53:33.871+0000,dismissed,Sleep,#FFFFFF,https://www.fitbit.com/content/assets/fitbit-now/insight-icons/WellnessSleep.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionZLEARN MOREXhttpLink_\x10/https://blog.fitbit.com/sleep-stages-explained/\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc3\x00\xcc\x00\xfe\x01\x03\x01\x0e\x01\x17\x01$\x01\'\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x010'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x15\x16\x17U$null\xd3\r\x0e\x0f\x10\x12\x14WNS.keysZNS.objectsV$class\xa1\x11\x80\x02\xa1\x13\x80\x03\x80\x04UstyleXfeedback\xd2\x18\x19\x1a\x1bZ$classnameX$classes\\NSDictionary\xa2\x1a\x1cXNSObject\x08\x11\x1a$)27ILQSY_fny\x80\x82\x84\x86\x88\x8a\x90\x99\x9e\xa9\xb2\xbf\xc2\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcb'
8,140,3,,1,1,1,10.0,#d9f3f4,,light,"Stay on track with 2 years of accidental damage coverage. This protection plan protects against drops, cracked screens and more.",#007a81,254f4ec0-ce54-11e9-a28e-8d52f76156cb,UpsellFPP_Marketing_Message,#007a81,wellness,/1.1/user/-/fitbit-now/messageId/254f4ec0-ce54-11e9-a28e-8d52f76156cb/feedback.json,,,2020-04-05T16:23:35.276+0000,dismissed,Protect your Fitbit Charge 3™ Special Edition,#007a81,https://static0.fitbit.com/content/assets/fitbit-now/fitbit_logo.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionZLEARN MOREXdeepLink_\x10?protection-plan/splash/fitbit-protection-plan/charge3-se+2CN73S\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc3\x00\xcc\x01\x0e\x01\x13\x01\x1e\x01\'\x014\x017\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01@'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa3\x0b\x0c\x13U$null\xd3\r\x0e\x0f\x10\x11\x12WNS.keysZNS.objectsV$class\xa0\xa0\x80\x02\xd2\x14\x15\x16\x17Z$classnameX$classes\\NSDictionary\xa2\x16\x18XNSObject\x08\x11\x1a$)27ILQSW]dlw~\x7f\x80\x82\x87\x92\x9b\xa8\xab\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb4'
9,140,3,,1,1,1,6.05,#AE3543,,light,"Similar to meditation, repetitive physical activities can help you relax. If you're feeling stressed, try 30 minutes of jogging, cycling or swimming 3–5 days a week.",#FFFFFF,2a7763d0-20ce-11e9-b7c7-d3f58b721286,insights,#FFFFFF,wellness,/1.1/user/-/fitbit-now/messageId/2a7763d0-20ce-11e9-b7c7-d3f58b721286/feedback.json,,,2020-04-06T18:07:52.796+0000,dismissed,Activity,#FFFFFF,https://www.fitbit.com/content/assets/fitbit-now/insight-icons/WellnessExercise.png,"b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa9\x0b\x0c\x19\x1a\x1b\x1c\x1d\x1e\x1fU$null\xd3\r\x0e\x0f\x10\x14\x18WNS.keysZNS.objectsV$class\xa3\x11\x12\x13\x80\x02\x80\x03\x80\x04\xa3\x15\x16\x17\x80\x05\x80\x06\x80\x07\x80\x08UtitleZbuttonType\\buttonActionZLEARN MOREXhttpLink_\x104https://blog.fitbit.com/exercises-to-manage-anxiety/\xd2 !""#Z$classnameX$classes\\NSDictionary\xa2""$XNSObject\x00\x08\x00\x11\x00\x1a\x00$\x00)\x002\x007\x00I\x00L\x00Q\x00S\x00]\x00c\x00j\x00r\x00}\x00\x84\x00\x88\x00\x8a\x00\x8c\x00\x8e\x00\x92\x00\x94\x00\x96\x00\x98\x00\x9a\x00\xa0\x00\xab\x00\xb8\x00\xc3\x00\xcc\x01\x03\x01\x08\x01\x13\x01\x1c\x01)\x01,\x00\x00\x00\x00\x00\x00\x02\x01\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x015'",b'bplist00\xd4\x01\x02\x03\x04\x05\x06\x07\nX$versionY$archiverT$topX$objects\x12\x00\x01\x86\xa0_\x10\x0fNSKeyedArchiver\xd1\x08\tTroot\x80\x01\xa5\x0b\x0c\x15\x16\x17U$null\xd3\r\x0e\x0f\x10\x12\x14WNS.keysZNS.objectsV$class\xa1\x11\x80\x02\xa1\x13\x80\x03\x80\x04UstyleXfeedback\xd2\x18\x19\x1a\x1bZ$classnameX$classes\\NSDictionary\xa2\x1a\x1cXNSObject\x08\x11\x1a$)27ILQSY_fny\x80\x82\x84\x86\x88\x8a\x90\x99\x9e\xa9\xb2\xbf\xc2\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcb'
