docid,c0text,c1contact,c2chat,c3documentType,c4extensible
1,up what's,gRkZV5RnTw_0,gRkZV5BHnw,,
2,not on waiting conference call you just much to a hop,gRkZV5BHnw_0,gRkZV5BHnw,,
3,minutes this start a in busy going few little report morning one and finished second to,gRkZV5RnTw_0,gRkZV5BHnw,,
4,working guys bet i you busy with awesome are everyone from home,gRkZV5BHnw_0,gRkZV5BHnw,,
5,later this be yet but effects i'm will of the sure felt not,gRkZV5RnTw_0,gRkZV5BHnw,,
6,jpg,gRkZV5RnTw_0,gRkZV5BHnw,C,
7,lol,gRkZV5BHnw_0,gRkZV5BHnw,,
8,turn my,gRkZV5RnTw_0,gRkZV5BHnw,,
9,jpg,gRkZV5BHnw_0,gRkZV5BHnw,C,
