composer_pid,composer,sort_composer,grouping_key,cloud_status,representative_item_pid,keep_local,keep_local_status,sync_id
-4880376468931441201,"Adam Horovitz, Adam Yauch, Michael Diamond, Mark Nishita & Mario Caldato Jr.",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04B*L>\x04D:N8:P*\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08',0,6834521314832366803,0,0,0
-4517815329023854081,"Alex Ridha, Paul Simon & Harry Baauer",,"b'*@2X\x04L:08*\x06\x04H*R@\x04N:BFD\x04\n\x90\x048*LLZ\x04,**R2L'",0,8877232900939931062,0,0,0
-4448235350663415610,"E. Wilson, J. Lynne, L. Lynn & M. Riddick",,b'2\x08\x04V:@NFD\x06\x04<\x08\x04@ZDD2\x06\x04@\x08\x04@ZDD\x04\n\x90\x04B\x08\x04L:00:.>',0,8877232900939930973,0,0,0
-4445329240694774277,"Adam Horovitz, Adam Yauch, Michael Diamond & Tom Cushman",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04PFB\x04.RN8B*D',0,6834521314832366797,0,0,0
-4160931394937765666,"The Notorious B.I.G., Andy Armer, D-Dot, Randy Alpert, Ricky Walters, Ronald Lawrence, R.Lawrence & Sean ""Puffy"" Combs",,"b'P82\x04DFPFL:FRN\x04,\x08:\x086\x08\x06\x04*D0Z\x04*LB2L\x06\x040\x05\x0e0FP\x06\x04L*D0Z\x04*@H2LP\x06\x04L:.>Z\x04V*@P2LN\x06\x04LFD*@0\x04@*VL2D.2\x06\x04L\x08@*VL2D.2\x04\n\x90\x04N2*D\x04\txHR44Z\tx\x04.FB,N'",0,8877232900939931068,0,0,0
-4088390607145302477,"Adam Levine, Shellback, Benjamin Levin, Ammar Malik, Dan Omelio & Cameron Thomaz",,"b'*0*B\x04@2T:D2\x06\x04N82@@,*.>\x06\x04,2D<*B:D\x04@2T:D\x06\x04*BB*L\x04B*@:>\x06\x040*D\x04FB2@:F\x04\n\x90\x04.*B2LFD\x04P8FB*\\'",0,8877232900939931020,0,0,0
-3728527959492194523,"A. Graham, M. Samuels & N. Shebib",,"b'*\x08\x046L*8*B\x06\x04B\x08\x04N*BR2@N\x04\n\x90\x04D\x08\x04N82,:,'",0,8877232900939930946,0,0,0
-3726425487385478796,Kanye West & Eric Hudson,,b'>*DZ2\x04V2NP\x04\n\x90\x042L:.\x048R0NFD',0,8877232900939931031,0,0,0
-3656501042802465841,"N. Jones, W. Adams, J. Lordan & D. Ingle",,b'D\x08\x04<FD2N\x06\x04V\x08\x04*0*BN\x06\x04<\x08\x04@FL0*D\x04\n\x90\x040\x08\x04:D6@2',0,1605611714792925285,0,0,0
-3512410463103431535,Stevie Wonder,,b'NP2T:2\x04VFD02L',0,1359453492144287587,0,0,0
-3511096292111904352,"Adam Horovitz, Adam Yauch, Michael Diamond & Mario Caldato Jr.",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08',0,6834521314832366796,0,0,0
-3437241395722110226,"James Mccants, Leroy Mccants, Bob Erwin & Marlon Williams",,"b'<*B2N\x04B..*DPN\x06\x04@2LFZ\x04B..*DPN\x06\x04,F,\x042LV:D\x04\n\x90\x04B*L@FD\x04V:@@:*BN'",0,8877232900939931008,0,0,0
-3296362253064820073,Foo Fighters,,b'4FF\x044:68P2LN',0,4334992639745348075,0,0,0
-2861140010022592667,"Eric B., Ken Jordan, Scott Kirkland & Rakim",,"b'2L:.\x04,\x08\x06\x04>2D\x04<FL0*D\x06\x04N.FPP\x04>:L>@*D0\x04\n\x90\x04L*>:B'",0,8877232900939930976,0,0,0
-2860846271494844462,"E. Dawkins III, K. Abdul Rahman, S. Barsh, D. Seeff, Elton John & Bernie Taupin",,"b'2\x08\x040*V>:DN\x04:::\x06\x04>\x08\x04*,0R@\x04L*8B*D\x06\x04N\x08\x04,*LN8\x06\x040\x08\x04N2244\x06\x042@PFD\x04<F8D\x04\n\x90\x04,2LD:2\x04P*RH:D'",0,8877232900939930984,0,0,0
-2718867662332301661,"Daniel Johnson, Dann Gallucci, Dustin William Brower, Eric Judy, Isaac Brock, Jonathon Keith Brown, Kane & Wasalu Jaco",,"b'0*D:2@\x04<F8DNFD\x06\x040*DD\x046*@@R..:\x06\x040RNP:D\x04V:@@:*B\x04,LFV2L\x06\x042L:.\x04<R0Z\x06\x04:N**.\x04,LF.>\x06\x04<FD*P8FD\x04>2:P8\x04,LFVD\x06\x04>*D2\x04\n\x90\x04V*N*@R\x04<*.F'",0,8877232900939931053,0,0,0
-2431665440414388059,"Anthony Kiedis, Chad Smith, Dave Navarro & Flea",,b'*DP8FDZ\x04>:20:N\x06\x04.8*0\x04NB:P8\x06\x040*T2\x04D*T*LLF\x04\n\x90\x044@2*',0,1359453492144287596,0,0,0
-2430226693178524922,Guy-Manuel de Homem-Christo & Thomas Bangalter,,"b'6RZ\x05\x0eB*DR2@\x0402\x048FB2B\x05\x0e.8L:NPF\x04\n\x90\x04P8FB*N\x04,*D6*@P2L'",0,8877232900939931048,0,0,0
-2359701954840762181,Chris Cornell,,b'.8L:N\x04.FLD2@@',0,8877232900939931056,0,0,0
-2287793138545089531,"Edwin Starr, Johnny Bristol, Harvey Fuqua, Bert Berns & Jerry Wexler",,"b'20V:D\x04NP*LL\x06\x04<F8DDZ\x04,L:NPF@\x06\x048*LT2Z\x044RJR*\x06\x04,2LP\x04,2LDN\x04\n\x90\x04<2LLZ\x04V2X@2L'",0,8877232900939931055,0,0,0
-2212171327765534491,"Adam Horovitz, Adam Yauch, Michael Diamond, Wendell Fite, Steve Hill & Mario Caldato Jr.",,b'*0*B\x048FLFT:P\\\x06\x04*0*B\x04Z*R.8\x06\x04B:.8*2@\x040:*BFD0\x06\x04V2D02@@\x044:P2\x06\x04NP2T2\x048:@@\x04\n\x90\x04B*L:F\x04.*@0*PF\x04<L\x08',0,6834521314832366799,0,0,0
-2140114929440959739,N/A,,b'D\n\x8a*',0,4334992639745348081,0,0,0
-1996284635310756738,Beck Hansen & Greg Kurstin,,"b',2.>\x048*DN2D\x04\n\x90\x046L26\x04>RLNP:D'",0,8877232900939931065,0,0,0
-1782102681753485022,"Jaime Meline, Michael Render & Wilder Zoby",,"b'<*:B2\x04B2@:D2\x06\x04B:.8*2@\x04L2D02L\x04\n\x90\x04V:@02L\x04\\F,Z'",0,8877232900939931067,0,0,0
-1710160108149616056,"Jay Jenkins, Don Cannon, Don Cannon, Curtis Mayfield, Ben Krass & Shawn Carter",,"b'<*Z\x04<2D>:DN\x06\x040FD\x04.*DDFD\x06\x040FD\x04.*DDFD\x06\x04.RLP:N\x04B*Z4:2@0\x06\x04,2D\x04>L*NN\x04\n\x90\x04N8*VD\x04.*LP2L'",0,8877232900939931045,0,0,0
-1638869321446079853,"K. West, D. Carter, M. Mathers, M. Samuels & A. Graham",,b'>\x08\x04V2NP\x06\x040\x08\x04.*LP2L\x06\x04B\x08\x04B*P82LN\x06\x04B\x08\x04N*BR2@N\x04\n\x90\x04*\x08\x046L*8*B',0,8877232900939931005,0,0,0
-1636926298494305732,"Tupac Shakur, R. Walker, L. Patterson, T. Curry, O. Jackson, G. Clinton, Jr., W. Collins, B. Worrell & A. Wheaton",,"b'PRH*.\x04N8*>RL\x06\x04L\x08\x04V*@>2L\x06\x04@\x08\x04H*PP2LNFD\x06\x04P\x08\x04.RLLZ\x06\x04F\x08\x04<*.>NFD\x06\x046\x08\x04.@:DPFD\x06\x04<L\x08\x06\x04V\x08\x04.F@@:DN\x06\x04,\x08\x04VFLL2@@\x04\n\x90\x04*\x08\x04V82*PFD'",0,8877232900939931012,0,0,0
-1566113317740672244,"Alex Van Halen, David Lee Roth, Eddie Van Halen & Michael Anthony",,b'*@2X\x04T*D\x048*@2D\x06\x040*T:0\x04@22\x04LFP8\x06\x04200:2\x04T*D\x048*@2D\x04\n\x90\x04B:.8*2@\x04*DP8FDZ',0,8877232900939930987,0,0,0
-1491805582817490444,"Anthony Kiedis, Michael Beinhorn, Flea, Jack Irons & Hillel Slovak",,"b'*DP8FDZ\x04>:20:N\x06\x04B:.8*2@\x04,2:D8FLD\x06\x044@2*\x06\x04<*.>\x04:LFDN\x04\n\x90\x048:@@2@\x04N@FT*>'",0,1359453492144287599,0,0,0
-1422503041942348425,Ken Jordan & Scott Kirkland,,b'>2D\x04<FL0*D\x04\n\x90\x04N.FPP\x04>:L>@*D0',0,8877232900939930975,0,0,0
