Z_PK,Z_ENT,Z_OPT,ZAGETYPE,ZASSETVISIBLE,ZBALDTYPE,ZCLOUDLOCALSTATE,ZCLOUDNAMESOURCE,ZCLUSTERSEQUENCENUMBER,ZCONFIRMEDFACECROPGENERATIONSTATE,ZEYEMAKEUPTYPE,ZEYESSTATE,ZFACEALGORITHMVERSION,ZFACIALHAIRTYPE,ZGENDERTYPE,ZGLASSESTYPE,ZHAIRCOLORTYPE,ZHASSMILE,ZHIDDEN,ZISINTRASH,ZISLEFTEYECLOSED,ZISRIGHTEYECLOSED,ZLIPMAKEUPTYPE,ZMANUAL,ZNAMESOURCE,ZQUALITYMEASURE,ZSMILETYPE,ZSOURCEHEIGHT,ZSOURCEWIDTH,ZTRAININGTYPE,ZASSET,Z34_ASSET,ZFACECROP,ZFACEGROUP,ZFACEGROUPBEINGKEYFACE,ZFACEPRINT,ZPERSON,ZPERSONBEINGKEYFACE,ZADJUSTMENTVERSION,ZBLURSCORE,ZCENTERX,ZCENTERY,ZLEFTEYEX,ZLEFTEYEY,ZMOUTHX,ZMOUTHY,ZPOSEYAW,ZQUALITY,ZRIGHTEYEX,ZRIGHTEYEY,ZROLL,ZSIZE,ZYAW,ZGROUPINGIDENTIFIER,ZMASTERIDENTIFIER,ZUUID
17,17,4,5,1,3,0,0,19,0,0,2,5,4,1,3,3,0,0,0,0,0,0,0,0,43,1,455,828,0,26,35,,36,36.0,19,39,39.0,606942246.1690487,0.48859572410583496,0.45721088349819183,0.5860375612974167,0.4307057411488968,0.6805228617535342,0.45454679275694226,0.505465006862033,0.1980651468038559,0.427001953125,0.5006743915806902,0.6523708920022009,0.0,0.1962733209349107,0.0,20200326,,46D29E2E-77FE-49A2-B75D-CECD94F42896
18,17,4,3,1,3,0,0,20,0,0,2,5,1,2,3,1,0,0,0,0,0,0,0,0,1,1,455,828,0,26,35,,34,34.0,18,27,27.0,606942246.1690487,1.0,0.7388045266270638,0.5243601277470589,0.7275716928865863,0.5541944983862727,0.7337897275396255,0.4936479996501044,-0.22813959419727325,0.05322265625,0.7570775522485729,0.5412050157490798,-0.5235987901687622,0.07439388556108958,0.0,20200326,,9FADBFB2-BFD9-4D41-AE98-F99126E331D6
19,17,5,5,1,3,0,0,22,0,0,2,5,1,2,3,1,0,0,0,0,0,0,0,0,24,1,1195,1125,0,27,35,,24,24.0,22,43,43.0,606942615.1636992,0.5332642793655396,0.3769003823399544,0.8903532475233078,0.35029286323793335,0.9284713201944608,0.3695038325481356,0.8538759616553521,0.13259118795394897,0.32861328125,0.4170115471443274,0.9156708816118433,0.0,0.16147646307945251,0.0,20200326,,B31CA546-477F-4709-95BD-B7ED9D5F32E3
20,17,4,5,1,3,0,0,23,0,0,2,5,1,1,3,3,0,0,0,0,0,0,0,0,21,1,1195,1125,0,27,35,,42,42.0,21,37,37.0,606942615.1636992,0.5993914008140564,0.4854816123843193,0.3882349729537964,0.4430174548514425,0.4235182751729809,0.4825451670392782,0.35425022288983854,-0.2737065851688385,0.5361328125,0.506966943721165,0.43669338079175546,0.0,0.1806044578552246,0.0,20200326,,79BC9ED0-BB5D-4CDE-A8EB-4522A8EF0B1D
21,17,4,5,1,3,0,0,21,0,0,2,5,1,2,3,2,0,0,0,0,0,0,0,0,26,1,1195,1125,0,27,35,,25,,20,28,,606942615.1636992,0.5049839019775391,0.18706891685724258,0.8209000676870346,0.14107757437217344,0.8578584930857536,0.20284073167950112,0.7832719503183121,0.45606914162635803,0.43994140625,0.21884448681444235,0.8758840575593416,0.0,0.20659169554710388,0.0,20200326,,4EDCD846-7518-4731-B987-B61FB2BD209F
22,17,4,3,1,3,0,0,18,0,0,2,5,1,2,3,1,0,0,0,0,0,0,0,0,160,2,545,720,0,24,35,,27,27.0,23,31,31.0,606941884.1665974,0.0,0.11858812719583511,0.7389592528343201,0.10840754652938694,0.7488095882943737,0.11809885666333853,0.7275243479798945,0.07829564809799194,0.1080322265625,0.12753458658958394,0.7497019027252438,0.0,0.04238717257976532,0.0,20200326,,D22CEF15-5816-4FB1-BD14-38FC14C7227E
23,17,4,4,1,3,0,0,24,0,0,2,5,2,1,3,4,0,0,0,0,0,0,0,0,92,1,898,1125,0,32,35,,28,28.0,24,33,33.0,607807637.8156989,0.5054715871810913,0.39912329614162445,0.44526683539152145,0.37922597296821114,0.4835328359591531,0.3940281107956123,0.3964440167033175,-0.24025380611419678,0.324951171875,0.42638855267595743,0.4766036689053107,0.0,0.12723973949750264,0.0,20200405,,35290BEA-5864-4C27-B81C-3B93BAAECE2B
24,17,4,5,1,3,0,0,25,0,0,2,5,2,1,3,3,0,0,0,0,0,0,0,0,282,1,1306,2212,0,38,35,,39,39.0,25,35,35.0,608389105.1502706,0.35943377017974854,0.5833724774420261,0.4904918894171715,0.5641552540080988,0.5346604543255544,0.581966064989147,0.4569054926340952,-0.1978973150253296,0.2232666015625,0.6084129134795095,0.528371484685398,0.0,0.10875976898086007,0.0,20200412,,5B09AC06-640F-4CBB-AFDA-B199F5261A28
25,17,4,5,1,3,0,0,16,0,0,2,5,5,1,3,3,0,0,0,0,0,0,0,0,36,1,956,828,0,57,35,,29,29.0,27,32,32.0,606865728.105,0.5467296838760376,0.4082721397280693,0.31210021674633026,0.3827500234014248,0.3463483361553763,0.40851013553407856,0.28642664427029985,0.05174317583441734,0.383056640625,0.4361907413844244,0.34389091685243045,0.0,0.12967824935913086,0.0,20200325,,DCE6FE78-5507-46A6-B8B2-B5059D941AB0
26,17,4,5,1,3,0,0,17,0,0,2,5,1,1,1,3,0,0,0,0,0,0,0,0,35,1,956,828,0,57,35,,31,31.0,26,46,46.0,606865728.105,0.5538268089294434,0.6746025420725346,0.3287458308041096,0.6507993366095277,0.35244013214117925,0.6764734928117764,0.31127691991831397,-0.0023876780178397894,0.412841796875,0.6942824146016273,0.35365758628655947,0.0,0.10746214538812637,0.0,20200325,,572BE29E-57B9-45BA-A230-CD2AE8154740
27,17,4,3,1,3,0,0,26,0,0,1,5,2,1,3,1,0,0,0,1,1,0,0,0,40,1,480,914,0,54,35,,46,46.0,28,30,30.0,608394454.0,0.0,0.9406927702948451,0.597130885347724,0.9384455098597139,0.6007871230667117,0.9474624612502717,0.5853067349319496,-0.15447604656219482,0.272705078125,0.9459286307088116,0.6123673850485283,-3.1415927410125732,0.02728018836328185,0.0,20200412,,5456CE3E-93C9-422D-8F26-E02B9E7208A8
