sid,nid,bandclass,channel,numpoints,id
60,2,0,384,6,251
13848,65535,0,283,7,252
13848,65535,0,283,9,253
14148,15,0,283,9,254
14148,15,0,242,9,255
14148,11,0,242,9,256
14148,11,0,283,9,257
14148,16,0,242,8,258
14148,16,0,283,8,259
14148,16,0,283,6,260
60,2,0,384,8,261
4132,402,1,950,7,262
4132,402,1,975,6,263
22411,402,10,476,6,264
60,2,0,384,7,265
4132,402,1,950,5,266
13848,65535,0,283,8,267
13848,65535,0,283,10,268
13848,65535,0,283,5,269
60,2,0,384,5,270
60,2,0,384,9,271
22411,402,10,476,8,272
4132,402,1,950,7,273
4132,402,1,975,7,274
60,2,0,384,8,275
22411,402,10,476,7,276
4132,402,1,950,7,277
4132,402,1,975,6,278
14263,1,0,283,7,279
14263,1,0,283,7,280
14229,3,0,283,10,281
14229,3,0,242,10,282
13848,65535,0,283,9,283
14229,3,0,283,7,284
13848,65535,0,283,11,285
13848,65535,0,242,8,286
13848,65535,0,283,10,287
13837,65535,0,283,8,288
13837,65535,0,283,8,289
60,2,0,384,6,290
60,2,0,384,6,291
60,2,0,384,6,292
14263,1,0,283,7,293
14263,1,0,283,9,294
14263,1,0,283,6,295
14225,22,0,283,6,296
14225,22,0,283,7,297
14231,3,0,283,9,298
14231,3,0,242,6,299
14231,3,0,283,10,300
14235,3,0,283,10,301
14235,3,0,242,9,302
14229,3,0,283,8,303
14229,3,0,283,11,304
14229,3,0,283,10,305
14228,15,0,283,9,306
13848,65535,0,283,8,307
14235,3,0,283,7,308
13848,65535,0,283,10,309
14228,15,0,283,9,310
13837,65535,0,283,8,311
13837,65535,0,283,11,312
13837,65535,0,242,8,313
13837,65535,0,283,11,314
13846,65535,0,283,8,315
13846,65535,0,283,11,316
13846,65535,0,283,10,317
13835,134,0,283,8,318
13835,134,0,283,9,319
13847,6,0,283,5,320
60,2,0,384,7,321
22411,402,10,476,5,322
14263,1,0,283,6,323
14263,1,0,283,9,324
14263,1,0,242,6,325
14263,1,0,283,6,326
14225,22,0,283,9,327
14225,22,0,283,10,328
14225,22,0,283,8,329
14231,3,0,283,8,330
14235,3,0,283,8,331
14225,21,0,283,8,332
14231,3,0,283,6,333
14225,22,0,283,6,334
14235,3,0,283,10,335
14235,3,0,283,10,336
14228,15,0,283,10,337
14235,3,0,283,9,338
14228,15,0,283,10,339
13837,65535,0,283,7,340
13837,65535,0,283,10,341
14228,15,0,283,9,342
13837,65535,0,242,8,343
13837,65535,0,283,9,344
13846,65535,0,283,7,345
13846,65535,0,283,10,346
13835,134,0,283,10,347
13835,0,0,283,7,348
13835,134,0,283,11,349
13835,0,0,283,9,350
13847,6,0,283,10,351
13850,65535,0,283,10,352
13850,65535,0,242,10,353
13835,0,0,283,9,354
13847,8,0,283,8,355
13847,8,0,283,10,356
13847,8,0,242,10,357
11296,0,0,283,9,358
11296,0,0,242,9,359
13844,2,0,242,8,360
13844,2,0,283,8,361
13850,65535,0,283,8,362
14264,1,0,283,5,363
14264,1,0,283,7,364
14264,1,0,283,9,365
14264,1,0,283,7,366
14264,1,0,283,6,367
14258,1,0,283,5,368
14258,1,0,283,6,369
14258,1,0,283,7,370
14259,1,0,283,5,371
14234,15,0,283,6,372
14225,22,0,283,8,373
14234,15,0,283,7,374
14225,22,0,283,9,375
14225,22,0,283,9,376
14225,21,0,283,8,377
14225,21,0,283,12,378
14225,21,0,242,12,379
14225,21,0,283,10,380
14225,21,0,242,8,381
14235,3,0,283,7,382
14225,21,0,283,10,383
14225,21,0,242,8,384
14235,3,0,283,8,385
14228,15,0,283,10,386
14233,15,0,283,10,387
14235,3,0,283,8,388
14228,15,0,283,12,389
14228,15,0,283,10,390
14230,15,0,283,9,391
13837,65535,0,283,7,392
14230,15,0,283,9,393
13845,65535,0,283,9,394
13837,65535,0,283,7,395
13845,65535,0,283,10,396
13845,65535,0,283,10,397
13849,65535,0,283,8,398
13832,65535,0,283,11,399
13835,0,0,283,10,400
13832,65535,0,283,12,401
13850,65535,0,283,12,402
13828,3,0,283,11,403
13835,0,0,283,11,404
13832,65535,0,1019,10,405
13828,3,0,242,10,406
13850,65535,0,242,10,407
13835,0,0,242,10,408
13844,2,0,242,11,409
13844,2,0,283,11,410
13831,6,0,283,11,411
13831,5,0,283,10,412
13831,5,0,242,10,413
13828,3,0,283,10,414
13831,6,0,242,10,415
13850,65535,0,283,8,416
13844,1,0,242,11,417
13844,1,0,283,11,418
13844,3,0,283,11,419
13831,5,0,283,11,420
13834,11,0,283,10,421
13844,3,0,242,10,422
13844,3,0,1019,10,423
13844,1,0,1019,10,424
13831,5,0,242,10,425
13844,2,0,283,9,426
13844,2,0,242,9,427
13834,11,0,283,10,428
13843,65535,0,283,10,429
13843,65535,0,283,10,430
13843,65535,0,1019,7,431
13836,65535,0,283,8,432
13843,65535,0,283,8,433
13843,65535,0,1019,6,434
13843,65535,0,242,5,435
13836,65535,0,283,5,436
14264,1,0,283,7,437
14264,1,0,283,5,438
14265,1,0,283,5,439
14264,1,0,283,6,440
14264,1,0,283,6,441
14264,1,0,283,7,442
14258,1,0,283,6,443
14258,1,0,283,7,444
14258,1,0,283,9,445
14258,1,0,283,6,446
14259,1,0,283,9,447
14259,1,0,242,7,448
14259,1,0,283,7,449
14259,1,0,283,5,450
14234,15,0,283,8,451
14234,15,0,283,9,452
14234,15,0,283,9,453
14225,22,0,283,7,454
14225,22,0,283,9,455
14234,15,0,283,8,456
14225,21,0,283,6,457
14234,15,0,283,9,458
14225,21,0,283,9,459
14225,21,0,283,10,460
14225,21,0,242,8,461
14225,21,0,283,10,462
14225,21,0,242,8,463
14233,15,0,283,9,464
14225,21,0,283,8,465
14226,4,0,283,8,466
14225,21,0,242,7,467
14233,15,0,283,11,468
14233,15,0,242,10,469
14233,15,0,283,11,470
14230,15,0,283,10,471
14233,15,0,283,8,472
14228,15,0,283,7,473
14230,15,0,283,11,474
13849,65535,0,283,9,475
13845,65535,0,283,8,476
13849,65535,0,283,10,477
13832,65535,0,283,11,478
13849,65535,0,283,11,479
13832,65535,0,1019,9,480
13832,65535,0,283,12,481
13828,2,0,283,12,482
13828,1,0,283,11,483
13828,1,0,242,11,484
13828,2,0,242,11,485
13828,3,0,283,11,486
13828,3,0,242,10,487
13832,65535,0,1019,9,488
13831,6,0,283,11,489
13828,2,0,283,11,490
13828,3,0,283,10,491
13831,5,0,283,9,492
13831,6,0,242,9,493
13834,11,0,283,9,494
13828,3,0,242,8,495
13828,2,0,242,8,496
13831,5,0,242,8,497
13834,11,0,283,11,498
13834,11,0,242,10,499
13831,5,0,283,9,500
13834,11,0,283,10,501
13833,65535,0,283,7,502
13843,65535,0,283,8,503
13833,65535,0,283,7,504
13834,11,0,283,6,505
13836,65535,0,283,9,506
13843,65535,0,283,9,507
13842,65535,0,283,11,508
13836,65535,0,283,11,509
13842,65535,0,283,12,510
13830,65535,0,283,9,511
13842,65535,0,283,6,512
14265,1,0,283,6,513
14265,1,0,283,7,514
14265,1,0,283,8,515
14264,1,0,283,5,516
14254,1,0,283,7,517
14258,1,0,283,7,518
14254,1,0,283,6,519
14258,1,0,283,8,520
14258,1,0,283,9,521
14259,1,0,283,7,522
14259,1,0,283,7,523
14259,1,0,283,6,524
14259,1,0,283,6,525
14259,1,0,283,7,526
14259,1,0,242,5,527
14234,15,0,283,7,528
14234,15,0,283,10,529
14234,15,0,283,9,530
14236,15,0,283,6,531
14236,15,0,283,9,532
14234,15,0,283,7,533
14225,21,0,283,6,534
14236,15,0,283,9,535
14225,21,0,283,9,536
14225,21,0,242,7,537
14226,4,0,283,9,538
14225,21,0,283,8,539
14226,4,0,283,10,540
14226,4,0,283,10,541
14233,15,0,283,10,542
14230,15,0,283,9,543
14233,15,0,283,8,544
14232,15,0,283,6,545
14230,15,0,283,9,546
14232,15,0,283,7,547
14232,15,0,283,8,548
13849,65535,0,283,8,549
14230,15,0,283,8,550
13849,65535,0,283,9,551
13839,65535,0,283,10,552
13849,65535,0,283,7,553
13839,65535,0,283,11,554
13828,2,0,283,8,555
13828,2,0,283,10,556
13839,65535,0,283,9,557
13834,11,0,283,7,558
13834,11,0,283,9,559
13833,65535,0,283,10,560
13834,11,0,283,8,561
13833,65535,0,283,9,562
13838,65535,0,283,8,563
13838,65535,0,283,9,564
13836,65535,0,283,7,565
13836,65535,0,283,11,566
13838,65535,0,283,9,567
13830,65535,0,283,11,568
13842,65535,0,283,9,569
14141,606,0,283,11,570
13830,65535,0,283,9,571
14141,606,0,283,9,572
14267,1,0,283,7,573
14267,1,0,78,6,574
14265,1,0,283,7,575
14265,1,0,283,7,576
14265,1,0,283,6,577
14265,1,0,283,7,578
14264,1,0,283,7,579
14264,1,0,283,6,580
14254,1,0,283,7,581
14255,1,0,283,5,582
14254,1,0,283,8,583
14254,1,0,283,10,584
14258,1,0,283,8,585
14254,1,0,283,5,586
14258,1,0,283,6,587
14259,1,0,283,7,588
14259,1,0,242,6,589
14259,1,0,283,6,590
14234,15,0,283,5,591
14234,15,0,283,7,592
14259,1,0,283,7,593
14259,1,0,242,5,594
14234,15,0,283,6,595
14234,15,0,283,7,596
14234,15,0,283,7,597
14236,15,0,283,6,598
14236,15,0,283,8,599
14236,15,0,283,8,600
14236,15,0,283,9,601
14236,15,0,283,9,602
14226,4,0,283,8,603
14226,15,0,283,12,604
14226,15,0,242,11,605
14226,15,0,283,10,606
14226,4,0,283,9,607
14227,18,0,283,9,608
14227,18,0,242,8,609
14226,4,0,283,8,610
14230,15,0,283,7,611
14232,15,0,283,8,612
14230,15,0,283,8,613
14227,18,0,283,7,614
14230,15,0,1019,6,615
14232,15,0,283,10,616
14232,15,0,283,10,617
13849,65535,0,283,7,618
13839,65535,0,283,7,619
13839,65535,0,283,9,620
13839,65535,0,283,10,621
13839,65535,0,283,8,622
13841,65535,0,283,8,623
13841,65535,0,283,9,624
13833,65535,0,283,8,625
13841,65535,0,242,7,626
13833,65535,0,283,9,627
13833,65535,0,283,9,628
13838,65535,0,283,10,629
13838,65535,0,283,10,630
13838,65535,0,283,9,631
13830,65535,0,283,8,632
14141,606,0,283,7,633
14141,606,0,283,10,634
14141,606,0,283,12,635
14137,302,0,283,10,636
14137,302,0,242,10,637
14141,606,0,283,9,638
12343,29315,0,81,6,639
12343,29315,0,40,6,640
14267,1,0,283,9,641
14267,1,0,78,7,642
14267,1,0,283,7,643
14267,1,0,283,8,644
14265,1,0,283,7,645
14265,1,0,283,6,646
4152,1,1,425,6,647
22417,305,10,476,5,648
4151,305,1,25,5,649
4152,1,1,425,7,650
22417,305,10,476,5,651
4152,1,1,425,7,652
14260,1,0,283,6,653
14265,1,0,283,5,654
14260,1,0,283,6,655
14255,1,0,283,6,656
14255,1,0,283,7,657
14255,1,0,283,7,658
14253,11,0,283,8,659
14254,1,0,283,7,660
14253,13,0,283,10,661
14253,13,0,242,9,662
14253,11,0,283,9,663
14253,11,0,242,8,664
14254,1,0,283,8,665
14253,11,0,283,9,666
14256,1,0,283,8,667
14258,1,0,283,7,668
14256,1,0,283,8,669
14252,11,0,283,7,670
14234,15,0,283,5,671
14234,15,0,283,8,672
14252,11,0,283,7,673
14234,15,0,283,6,674
14252,11,0,1019,5,675
14234,15,0,283,6,676
14234,15,0,283,7,677
14236,15,0,283,6,678
14236,15,0,283,8,679
14236,15,0,283,9,680
14236,15,0,283,10,681
14236,15,0,283,9,682
14226,15,0,283,7,683
14226,15,0,283,10,684
14226,15,0,283,9,685
14227,18,0,283,8,686
14227,18,0,1019,7,687
14227,18,0,283,10,688
14227,18,0,242,8,689
14227,18,0,283,10,690
14232,15,0,283,10,691
14232,15,0,283,8,692
14219,1,0,283,8,693
13839,65535,0,283,9,694
14219,1,0,283,6,695
13839,65535,0,283,7,696
13841,65535,0,283,8,697
13841,65535,0,283,10,698
13841,65535,0,242,9,699
13841,65535,0,283,8,700
14197,97,0,283,7,701
13841,65535,0,242,6,702
14197,97,0,283,9,703
13833,65535,0,283,7,704
14197,97,0,283,9,705
13833,65535,0,283,7,706
14197,97,0,283,9,707
13838,65535,0,283,8,708
13838,65535,0,283,8,709
14142,607,0,283,8,710
14142,607,0,283,10,711
14141,606,0,283,10,712
14142,607,0,283,8,713
14142,607,0,242,8,714
14141,606,0,283,11,715
14137,302,0,283,9,716
14137,302,0,242,9,717
14137,302,0,283,12,718
14137,302,0,242,11,719
14140,805,0,283,11,720
14140,1105,0,283,10,721
14140,805,0,242,9,722
14140,1105,0,242,9,723
14140,805,0,283,12,724
14140,805,0,242,11,725
14140,805,0,283,5,726
12343,29521,0,40,6,727
14267,1,0,283,7,728
14267,1,0,283,7,729
14266,1,0,283,6,730
14266,1,0,283,8,731
14266,1,0,283,8,732
14266,1,0,283,8,733
14265,1,0,283,8,734
4152,1,1,425,7,735
4151,305,1,25,6,736
22417,305,10,476,6,737
14260,1,0,283,9,738
14260,1,0,242,6,739
14260,1,0,283,8,740
14260,1,0,242,6,741
14255,1,0,283,7,742
14255,1,0,283,9,743
14255,1,0,283,8,744
14253,11,0,283,6,745
14255,1,0,242,5,746
14253,13,0,283,11,747
14253,13,0,242,10,748
14253,11,0,283,8,749
14256,1,0,283,6,750
14256,1,0,283,9,751
14256,1,0,283,7,752
14252,11,0,283,10,753
14252,11,0,242,7,754
14252,11,0,283,8,755
14252,11,0,242,6,756
14252,11,0,283,7,757
14252,11,0,242,6,758
14252,11,0,1019,5,759
14252,11,0,283,7,760
14245,11,0,283,6,761
14245,11,0,283,7,762
14236,15,0,283,7,763
14245,11,0,242,5,764
14234,15,0,283,5,765
14236,15,0,283,8,766
14245,11,0,283,6,767
14245,11,0,283,7,768
14236,15,0,283,6,769
14236,15,0,283,8,770
14245,11,0,283,5,771
14226,15,0,283,7,772
14236,15,0,283,7,773
14226,15,0,283,9,774
14227,18,0,283,8,775
14226,15,0,283,7,776
14227,18,0,283,12,777
14227,18,0,242,10,778
14227,18,0,283,9,779
14219,1,0,283,8,780
14227,18,0,283,8,781
14232,15,0,283,7,782
14219,1,0,283,9,783
14219,1,0,283,9,784
13839,65535,0,283,7,785
14210,2,0,283,7,786
14210,2,0,283,10,787
13841,65535,0,283,9,788
14210,2,0,283,7,789
13841,65535,0,242,6,790
13841,65535,0,283,8,791
14210,2,0,283,8,792
14197,97,0,283,9,793
13841,65535,0,283,9,794
13841,65535,0,242,6,795
14197,97,0,283,10,796
14197,97,0,283,9,797
14197,97,0,283,8,798
14142,607,0,283,6,799
14142,607,0,283,10,800
14142,607,0,242,7,801
14142,607,0,283,10,802
14142,607,0,242,8,803
14142,607,0,283,11,804
14142,607,0,242,10,805
14140,1105,0,283,10,806
14141,606,0,283,8,807
14142,607,0,283,7,808
14140,1105,0,283,11,809
14140,1105,0,242,10,810
14139,704,0,283,11,811
14140,1105,0,283,11,812
14139,704,0,242,10,813
14140,1105,0,242,9,814
14140,805,0,283,8,815
14139,704,0,283,12,816
14139,704,0,242,10,817
14136,101,0,283,10,818
14136,101,0,242,8,819
14266,1,0,283,8,820
14266,1,0,283,8,821
14266,1,0,283,9,822
14260,1,0,283,7,823
14260,1,0,242,6,824
14266,1,0,283,5,825
4152,1,1,425,9,826
22417,305,10,476,9,827
4151,305,1,25,9,828
4151,305,1,50,9,829
4152,1,0,384,6,830
4152,1,0,384,8,831
22443,310,10,476,6,832
4181,310,1,250,6,833
4181,310,1,275,6,834
4182,5,0,283,6,835
4182,5,0,283,6,836
22443,310,10,476,5,837
4181,310,1,250,5,838
4181,310,1,275,5,839
14260,1,0,283,9,840
14260,1,0,242,8,841
14260,1,0,283,7,842
14255,1,0,283,7,843
14255,1,0,283,7,844
14255,1,0,283,7,845
14253,11,0,283,6,846
14253,11,0,283,7,847
14253,11,0,283,8,848
14256,1,0,283,9,849
14248,11,0,283,8,850
14256,1,0,283,7,851
14248,11,0,283,8,852
14252,11,0,283,7,853
14252,11,0,283,8,854
14244,11,0,283,6,855
14244,11,0,283,8,856
14252,11,0,283,6,857
14244,11,0,242,6,858
14244,11,0,283,7,859
14245,11,0,283,6,860
14245,11,0,283,7,861
14245,11,0,283,8,862
14245,11,0,283,8,863
14245,11,0,242,6,864
14246,11,0,283,7,865
14246,11,0,283,8,866
14226,15,0,283,5,867
14226,15,0,283,8,868
14246,11,0,283,7,869
14226,15,0,283,8,870
14227,18,0,283,7,871
14227,18,0,283,8,872
14227,18,0,283,10,873
14227,18,0,283,9,874
14219,1,0,283,7,875
14219,1,0,283,10,876
14210,2,0,283,9,877
14219,1,0,283,9,878
14219,1,0,242,7,879
14210,2,0,283,10,880
14210,2,0,242,8,881
14210,2,0,283,10,882
14210,2,0,242,10,883
14210,2,0,283,9,884
14197,97,0,283,9,885
14197,97,0,283,11,886
14197,97,0,242,10,887
14197,97,0,283,10,888
14197,97,0,283,9,889
14142,607,0,283,9,890
14197,97,0,283,9,891
14142,607,0,242,8,892
14142,607,0,283,9,893
14143,708,0,283,7,894
14143,708,0,283,9,895
14143,708,0,242,9,896
14142,607,0,283,7,897
14143,708,0,283,9,898
14143,708,0,242,8,899
14140,1105,0,283,8,900
14140,1105,0,242,7,901
14143,708,0,283,7,902
14136,101,0,283,9,903
14139,704,0,283,9,904
14136,101,0,242,7,905
14136,101,0,283,10,906
14136,101,0,242,10,907
14136,1001,0,283,10,908
14136,1001,0,242,10,909
14139,704,0,283,9,910
14136,1001,0,283,10,911
14136,101,0,283,10,912
14136,1001,0,242,8,913
14136,101,0,242,8,914
14268,1,0,283,7,915
14260,1,0,283,6,916
14260,1,0,283,7,917
4152,1,1,425,10,918
4152,3,1,425,9,919
4151,305,1,25,9,920
22417,305,10,476,9,921
4151,305,1,50,9,922
4152,1,0,384,6,923
4151,305,1,25,6,924
22417,305,10,476,6,925
4152,1,0,384,10,926
22417,305,10,476,9,927
4151,305,1,25,8,928
4151,305,1,50,8,929
4152,1,0,384,7,930
4182,5,1,425,6,931
4182,5,0,283,5,932
4181,310,1,250,5,933
4181,310,1,275,5,934
22443,310,10,476,8,935
4182,5,0,283,7,936
4181,310,1,250,7,937
4181,310,1,275,7,938
22443,310,10,476,8,939
4182,5,0,283,8,940
4181,310,1,250,8,941
4181,310,1,275,8,942
22443,310,10,476,6,943
4182,5,1,425,5,944
14260,1,0,283,6,945
14261,1,0,283,5,946
13920,6,0,283,7,947
14255,1,0,283,6,948
13919,6,0,283,6,949
13920,6,0,242,6,950
13919,6,0,283,8,951
13919,6,0,283,6,952
14256,1,0,283,7,953
14253,11,0,283,7,954
14256,1,0,283,6,955
14256,1,0,283,8,956
14248,11,0,283,8,957
14248,11,0,283,9,958
14244,11,0,283,10,959
14244,11,0,242,8,960
14244,11,0,283,9,961
14245,11,0,283,7,962
14241,11,0,283,7,963
14241,11,0,283,9,964
14241,11,0,242,9,965
14245,11,0,283,9,966
14245,11,0,242,6,967
14245,11,0,283,8,968
14246,11,0,283,5,969
14245,11,0,283,9,970
14245,11,0,242,8,971
14246,11,0,283,8,972
14246,11,0,283,7,973
14245,11,0,283,5,974
14246,11,0,283,6,975
14246,11,0,283,8,976
14218,1,0,283,6,977
14218,1,0,283,8,978
