item_pid,media_type,title_order,title_order_section,item_artist_pid,item_artist_order,item_artist_order_section,series_name_order,series_name_order_section,album_pid,album_order,album_order_section,album_artist_pid,album_artist_order,album_artist_order_section,composer_pid,composer_order,composer_order_section,genre_id,genre_order,genre_order_section,disc_number,track_number,episode_sort_id,base_location_id,remote_location_id,exclude_from_shuffle,keep_local,keep_local_status,in_my_library,is_compilation,date_added,show_composer,is_music_show,date_downloaded,download_source_container_pid
8877232900939931006,8,4074192518,7,1027936452957177418,447134945727095886,17,0,27,7872722295233619943,389775072887761760,17,6650585864948060665,447134945727095886,17,1748697778267354967,900228806749383188,19,-5024278388930694182,46568994131859416,15,1,3,3,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931007,8,4076201073,7,-3148544830208502386,3340794901,0,0,27,-7905897216244955310,4076201073,7,307311092980372619,3340794901,0,-5746541868038984881,3174399069,0,7154480521592735382,4074200840,7,1,1,1,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931008,8,4207809136,12,-8698626260020093178,4187565333,11,0,27,-2717313629011937137,4207809136,12,4486175036088991798,4187565333,11,-3437241395722110226,4127173475,9,2111966536109256348,4076390828,7,1,8,8,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931009,8,4060350191,6,-4809559458126180205,679702054487880564,18,0,27,-5744952359274489274,4021396728,5,-8844752683176185954,679702054487880564,18,1822310631648724636,4157695345,10,2111966536109256348,4076390828,7,1,4,4,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931010,8,2561325898284508708,19,-5456574838490593451,3768394163149404688,22,0,27,-1998589554392368441,433321609324534950,17,8017463146987692274,3768394163149404688,22,-5240720412069598466,3768394163149404688,22,2111966536109256348,4076390828,7,1,8,8,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931011,8,3189552544091796657,19,8451799933367933234,3964979041,3,0,27,8163587078582862266,3189603060063242982,19,-51581074898160043,3964979041,3,0,0,27,2111966536109256348,4076390828,7,1,1,1,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931012,8,4244982625,13,-5310829185369204248,5846224999234453824,26,0,27,6578933693017767113,358472091452690548,17,5422827528824752130,5846224999234453824,26,-1636926298494305732,3200778764720173252,19,2111966536109256348,4076390828,7,1,8,8,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931013,8,3571993551614751778,21,4054820118845943893,3922933467,2,0,27,3190528924371007772,3586449050597564478,21,2254589709196878452,3922933467,2,-916131703176607623,3922139473,2,-5024278388930694182,46568994131859416,15,1,7,7,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931014,8,805649230433887641,18,7803698162868524193,3919478369,2,0,27,5497387097897343271,5998678101108002176,26,8740438302053182595,3919478369,2,0,0,27,-2719246062502823582,3962699720,3,1,10,10,0,50,0,-1,0,0,0,0,0,0,0.0,0
8877232900939931015,8,3396144001897457050,20,4125828301572920729,4208072027,12,0,27,3552055037605238008,3397450038085009767,20,5424320759404989970,4208072027,12,6579705222309285315,4208086020,12,-5024278388930694182,46568994131859416,15,1,1,1,300,50,0,0,0,0,0,0,0,0,607027633.213151,1675494059300644005
8877232900939931016,8,688150972127634589,18,1532002085524841687,4265319216,14,0,27,739632485694754196,688323213906157793,18,-8840865074269272400,4265319216,14,5639965721706977103,4265591018,14,7370937804708437421,4077507235,7,1,1,1,0,50,0,-1,0,0,0,0,0,0,0.0,0
