Z_PK,Z_ENT,Z_OPT,ZKIND,ZHASNETWORKATTACHMENT,ZADMINDISABLES,ZBYTESIN,ZBYTESOUT,ZCAPTIVITYREDIRECTS,ZCERTERRORS,ZCONNATTEMPTS,ZCONNSUCCESSES,ZDATASTALLS,ZEPOCHS,ZFAULTYSTAY,ZLOWLQMSTAY,ZLOWQSTAY,ZLQMTRANSITIONCOUNT,ZOVERALLSTAY,ZOVERALLSTAYM2,ZPACKETSIN,ZPACKETSOUT,ZRETXBYTES,ZRTTAVG,ZRTTMIN,ZRTTVAR,ZRXDUPEBYTES,ZRXOOOBYTES,ZTIMESTAMP,ZTOPDOWNLOADRATE
27,8,2,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36032092571258545,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606974400,0.0
28,8,4,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.94689393043518,0.0,1.0,36.19522988796234,339.20953775553903,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606974400,0.0
29,8,2,2,29,0.0,598.0,391.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.80814790725708,112.58803658749866,10.0,9.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606974400,0.0
30,8,2,2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2980400323867798,0.0,1.0,0.5363160371780396,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,606974400,0.0
31,8,6,1,31,0.0,0.0,791.0,0.0,0.0,1.0,0.0,0.0,5.0,189.34030401706696,50.38279891014099,0.0,20.0,261.06521797180176,22969.508726770673,0.0,11.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,607233600,0.0
32,8,2,2,32,0.0,12913.0,8167.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,21.709702014923096,0.0,62.0,78.0,1631.0,0.0,1.7976931348623157e+308,0.0,4573.0,0.0,607320000,0.0
33,8,6,2,33,0.0,238469.0,151679.0,0.0,0.0,27.0,25.0,0.0,5.0,0.0,73.38366901874542,0.0,7.0,223.15559101104736,3947.7090613771525,639.0,831.0,2036.0,0.0,0.0911875,0.0,260.0,24.0,607752000,0.0
34,8,5,2,34,0.0,420265.0,176649.0,0.0,0.0,42.0,38.0,1.0,11.0,0.0,122.11418926715851,0.0,7.0,769.1149920225143,76734.60059032985,808.0,1006.0,0.0,0.0,0.044125,0.0,2578.0,0.0,607752000,0.0
35,8,5,2,24,0.0,175771.0,78322.0,0.0,0.0,25.0,23.0,0.0,7.0,0.0,0.0,0.0,1.0,383.52586221694946,14971.172563557591,394.0,513.0,77.0,0.0,1.7976931348623157e+308,0.0,4126.0,0.0,607752000,0.0
36,8,6,2,35,0.0,1871902.0,631254.0,0.0,0.0,192.0,174.0,3.0,6.0,0.0,42.20430111885071,0.0,5.0,917.7113440036774,109972.63289400705,3171.0,3844.0,1454.0,0.0,0.04478125,0.0,13025.0,0.0,607752000,0.0
37,8,2,2,36,0.0,5469188.0,703337.0,0.0,0.0,92.0,83.0,1.0,1.0,0.0,40.4071409702301,0.0,6.0,310.0366699695587,0.0,5214.0,5588.0,4492.0,0.0,0.0405,0.0,2538.0,815796.0,607406400,0.0
38,8,5,2,37,0.0,314175.0,122678.0,0.0,0.0,25.0,23.0,2.0,4.0,0.0,51.03990995883942,0.0,2.0,223.52879905700684,11528.679870150558,597.0,716.0,0.0,0.0,1.7976931348623157e+308,0.0,3185.0,0.0,607665600,0.0
39,8,5,2,38,0.0,553292.0,85908.0,0.0,0.0,23.0,19.0,0.0,11.0,0.0,0.305946946144104,0.0,4.0,273.7210067510605,2159.1489425600985,623.0,639.0,0.0,0.0,1.7976931348623157e+308,0.0,7158.0,35154.0,607665600,0.0
40,8,5,2,39,0.0,1476630.0,520521.0,0.0,0.0,123.0,103.0,1.0,3.0,0.0,390.9364379644394,0.0,12.0,1363.1256419420242,223236.39799573884,2458.0,2962.0,1904.0,0.0,1.7976931348623157e+308,0.0,3985.0,114329.0,607665600,0.0
41,8,5,2,40,0.0,112913.0,32127.0,0.0,0.0,9.0,9.0,0.0,7.0,0.0,6.634450078010559,0.0,1.0,205.59064519405365,4377.210542091303,189.0,223.0,0.0,0.0,1.7976931348623157e+308,0.0,862.0,20074.0,607665600,0.0
42,8,2,2,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.782099962234497,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,607406400,0.0
43,8,3,2,42,0.0,695547.0,167683.0,0.0,0.0,40.0,35.0,4.0,2.0,0.0,64.99327790737152,0.0,3.0,281.6113339662552,1704.9905800797353,1025.0,1223.0,77.0,0.0,1.7976931348623157e+308,0.0,3842.0,48741.0,607752000,0.0
44,8,16,2,11,0.0,7558.0,7537.0,0.0,0.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,4257.2770075798035,1583115.1801719908,56.0,62.0,930.0,0.0,1.7976931348623157e+308,0.0,477.0,0.0,608616000,0.0
45,8,5,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,40.83777105808258,1025.0910663702475,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608616000,0.0
46,8,4,2,28,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.080066919326782,8.300363447746546,1.0,1.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608356800,0.0
47,8,2,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.68812096118927,0.6408670265387357,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608270400,0.0
48,8,2,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4223250150680542,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608270400,0.0
49,8,12,1,16,0.0,19104105.0,3011959.0,0.0,0.0,156.0,111.0,2.0,21.0,50.86771500110626,158.1772119998932,23.581691026687622,53.0,2053.6078649759293,198421.22439497605,16374.0,9057.0,44094.0,0.0,0.017125,0.0,76120.0,519675.0,608702400,0.0
50,8,3,2,34,0.0,7248049.0,687157.0,0.0,0.0,111.0,97.0,1.0,21.0,0.0,46.58580005168915,0.0,6.0,900.4962340593338,269070.7539155819,7202.0,4485.0,2738.0,0.0,0.03775,0.0,45532.0,0.0,608616000,0.0
51,8,2,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5749830007553101,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608356800,0.0
52,8,8,1,15,0.0,5341867.0,229411.0,0.0,0.0,35.0,31.0,0.0,11.0,0.0,71.35842406749725,41.46496605873108,21.0,294.20506286621094,9678.726106349659,4043.0,1487.0,21835.0,0.0,0.01865625,0.0,5807.0,0.0,608702400,0.0
53,8,2,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.137252926826477,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608616000,0.0
54,8,2,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.351355075836182,0.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,0.0,0.0,0.0,608616000,0.0
55,8,2,2,33,0.0,403395.0,44721.0,0.0,0.0,9.0,9.0,0.0,21.0,0.0,9.422788977622986,0.0,2.0,124.82067108154297,1176.1610852743224,375.0,352.0,1388.0,0.0,0.0569375,0.0,0.0,0.0,608616000,0.0
