ID,timestamp,Block,Active
1648,1586865410.439253,Backlight,1
1649,1586865413.2592993,Backlight,0
1650,1586865434.6435602,Backlight,1
1651,1586865439.1192842,Backlight,0
1652,1586865457.6167989,Backlight,1
1653,1586865461.199851,Backlight,0
1654,1586867862.046502,Backlight,1
1655,1586867863.2032871,Backlight,0
1656,1586868225.7861252,Backlight,1
1657,1586868263.579155,Backlight,0
1658,1586868307.3141851,Backlight,1
1659,1586868317.5234811,Backlight,0
1660,1586872085.7170331,Backlight,1
1661,1586872095.8925831,Backlight,0
1662,1586872097.4326022,Backlight,1
1663,1586872098.5389042,Backlight,0
1664,1586872105.9355392,Backlight,1
1665,1586872116.0655613,Backlight,0
1666,1586872122.8684332,Backlight,1
1667,1586872126.019577,Backlight,0
1668,1586872127.587815,Backlight,1
1669,1586872137.775823,Backlight,0
1670,1586872146.741408,Backlight,1
1671,1586872502.38011,Backlight,0
1672,1586873003.5376382,Backlight,1
1673,1586873009.719402,Backlight,0
1674,1586873189.993514,Backlight,1
1675,1586873190.497992,Backlight,0
1676,1586873191.136506,Backlight,1
1677,1586873197.3336473,Backlight,0
1678,1586876413.9511192,Backlight,1
1679,1586876415.0869484,Backlight,0
1680,1586876415.5875742,Backlight,1
1681,1586876426.8138871,Backlight,0
1682,1586877937.7222362,Backlight,1
1683,1586877976.487389,Backlight,0
1684,1586879790.845307,Backlight,1
1685,1586879865.100377,Backlight,0
1686,1586879870.206442,Backlight,1
1687,1586879872.424714,Backlight,0
1688,1586884498.258224,Backlight,1
1689,1586884508.4262521,Backlight,0
1690,1586887722.8708422,Backlight,1
1691,1586887728.0740113,Backlight,0
1692,1586891517.883609,Backlight,1
1693,1586891527.998188,Backlight,0
1694,1586896287.3086503,Backlight,1
1695,1586896287.7953343,Backlight,0
1696,1586896288.0964592,Backlight,1
1697,1586896307.962259,Backlight,0
1698,1586903571.8735332,Backlight,1
1699,1586903581.9896173,Backlight,0
1700,1586903696.4994571,Backlight,1
1701,1586903706.619473,Backlight,0
1702,1586904087.8794312,Backlight,1
1703,1586913546.0825453,Backlight,0
1704,1586913728.654694,Backlight,1
1705,1586913729.809987,Backlight,0
1706,1586913746.9114702,Backlight,1
1707,1586913749.414864,Backlight,0
1708,1586913783.938512,Backlight,1
1709,1586913799.381814,Backlight,0
1710,1586913814.210598,Backlight,1
1711,1586913815.902039,Backlight,1
1712,1586913824.3519912,Backlight,0
1713,1586913830.5442634,Backlight,0
1714,1586948140.2752252,Backlight,1
1715,1586948144.384366,Backlight,0
1716,1586948148.4585052,Backlight,1
1717,1586948150.0388281,Backlight,0
1718,1586948180.5563061,Backlight,1
1719,1586948182.2942681,Backlight,0
1720,1586953433.973947,Backlight,1
1721,1586953438.675509,Backlight,0
1722,1586962399.8057733,Backlight,1
1723,1586962403.265927,Backlight,0
1724,1586962404.8583791,Backlight,1
1725,1586962406.96513,Backlight,0
1726,1586962408.174951,Backlight,1
1727,1586962409.267632,Backlight,0
1728,1586967395.406395,Backlight,1
1729,1586967398.0768132,Backlight,0
1730,1586967412.4769483,Backlight,1
1731,1586968078.2365313,Backlight,0
1732,1586970804.893836,Backlight,1
1733,1586970808.0647812,Backlight,0
1734,1586970844.2344613,Backlight,1
1735,1586970854.380423,Backlight,0
1736,1586972747.3927412,Backlight,1
1737,1586972798.619079,Backlight,0
1738,1586974896.340511,Backlight,1
1739,1586974897.8311331,Backlight,0
1740,1586974903.5717921,Backlight,1
1741,1586974904.842617,Backlight,0
1742,1586974917.8101172,Backlight,1
1743,1586974922.9442344,Backlight,0
1744,1586974969.850965,Backlight,1
1745,1586974972.954215,Backlight,0
1746,1586974974.339776,Backlight,1
1747,1586974978.373979,Backlight,0
1748,1586974988.36331,Backlight,1
1749,1586974994.9923792,Backlight,0
1750,1586975021.35315,Backlight,1
1751,1586975030.549135,Backlight,0
1752,1586975037.264683,Backlight,1
1753,1586975039.330755,Backlight,0
1754,1586982378.0644321,Backlight,1
1755,1586982388.2931752,Backlight,0
1756,1586983964.7382612,Backlight,1
1757,1586983974.8599901,Backlight,0
1758,1586985557.6524034,Backlight,1
1759,1586985567.7964802,Backlight,0
1760,1586988671.932892,Backlight,1
1761,1586988672.467369,Backlight,0
1762,1586988673.012969,Backlight,1
1763,1586988675.85283,Backlight,0
1764,1586988838.7887511,Backlight,1
1765,1586988848.9201713,Backlight,0
1766,1586988863.564711,Backlight,1
1767,1586988909.6395972,Backlight,0
1768,1586998532.2651262,Backlight,1
1769,1586998552.934731,Backlight,0
1770,1587000357.24019,Backlight,0
1771,1587034046.4854472,Backlight,1
1772,1587034048.0304203,Backlight,0
1773,1587034291.9969552,Backlight,1
1774,1587034302.4060152,Backlight,0
1775,1587037362.5221052,Backlight,1
1776,1587037372.628224,Backlight,0
1777,1587037440.0402694,Backlight,1
1778,1587037440.643834,Backlight,0
1779,1587037441.1407313,Backlight,1
1780,1587037451.388833,Backlight,0
1781,1587037468.4160762,Backlight,1
1782,1587038015.979579,Backlight,0
1783,1587038016.837311,Backlight,1
1784,1587039747.594885,Backlight,0
1785,1587043511.0508623,Backlight,1
1786,1587045071.762469,Backlight,0
1787,1587045073.2095733,Backlight,1
1788,1587045091.961258,Backlight,0
1789,1587045092.7842212,Backlight,1
1790,1587045515.0491362,Backlight,0
1791,1587045520.266463,Backlight,1
1792,1587045528.69092,Backlight,0
1793,1587050935.735261,Backlight,1
1794,1587050936.232366,Backlight,0
1795,1587050936.6691332,Backlight,1
1796,1587050946.7736173,Backlight,0
1797,1587051123.0971122,Backlight,1
1798,1587051125.725152,Backlight,0
1799,1587051135.182825,Backlight,1
1800,1587051138.330732,Backlight,0
1801,1587051139.191753,Backlight,1
1802,1587052461.1610181,Backlight,1
