entry_ID,isDataOnFS,receiver_data
19,0,"b'{""activities"":[{""activeDuration"":1617000,""activityLevel"":[{""minutes"":0,""name"":""sedentary""},{""minutes"":0,""name"":""lightly""},{""minutes"":0,""name"":""fairly""},{""minutes"":27,""name"":""very""}],""activityName"":""Run"",""activityTypeId"":90009,""averageHeartRate"":161,""calories"":382,""caloriesLink"":""https://api.fitbit.com/1/user/-/activities/calories/date/2020-04-06/2020-04-06/1min/time/13:27/13:54.json"",""distance"":2.82034,""distanceUnit"":""Mile"",""duration"":1623000,""elevationGain"":138.999344,""heartRateLink"":""https://api.fitbit.com/1/user/-/activities/heart/date/2020-04-06/2020-04-06/1sec/time/13:27:22/13:54:25.json"",""heartRateZones"":[{""max"":89,""min"":30,""minutes"":0,""name"":""Out of Range""},{""max"":124,""min"":89,""minutes"":0,""name"":""Fat Burn""},{""max"":151,""min"":124,""minutes"":7,""name"":""Cardio""},{""max"":220,""min"":151,""minutes"":20,""name"":""Peak""}],""lastModified"":""2020-04-06T18:07:47.000Z"",""logId"":30157308170,""logType"":""tracker"",""manualValuesSpecified"":{""calories"":false,""distance"":false,""steps"":false},""originalDuration"":1623000,""originalStartTime"":""2020-04-06T13:27:22.000-04:00"",""pace"":573.6835700502407,""source"":{""id"":""161172253"",""name"":""Charge 3"",""trackerFeatures"":[""VO2_MAX"",""DISTANCE"",""GPS"",""HEARTRATE"",""CALORIES"",""ELEVATION"",""STEPS"",""PACE""],""type"":""tracker"",""url"":""https://www.fitbit.com/""},""speed"":6.275236363636364,""startTime"":""2020-04-06T13:27:22.000-04:00"",""steps"":4407,""tcxLink"":""https://api.fitbit.com/1/user/-/activities/30157308170.tcx""},{""activeDuration"":2816000,""activityLevel"":[{""minutes"":5,""name"":""sedentary""},{""minutes"":21,""name"":""lightly""},{""minutes"":12,""name"":""fairly""},{""minutes"":8,""name"":""very""}],""activityName"":""Walk"",""activityTypeId"":90013,""averageHeartRate"":95,""calories"":251,""caloriesLink"":""https://api.fitbit.com/1/user/-/activities/calories/date/2020-04-05/2020-04-05/1min/time/11:25/12:12.json"",""duration"":2816000,""elevationGain"":140,""heartRateLink"":""https://api.fitbit.com/1/user/-/activities/heart/date/2020-04-05/2020-04-05/1sec/time/11:25:28/12:12:24.json"",""heartRateZones"":[{""max"":89,""min"":30,""minutes"":15,""name"":""Out of Range""},{""max"":124,""min"":89,""minutes"":32,""name"":""Fat Burn""},{""max"":151,""min"":124,""minutes"":0,""name"":""Cardio""},{""max"":220,""min"":151,""minutes"":0,""name"":""Peak""}],""lastModified"":""2020-04-05T16:19:27.000Z"",""logId"":30135748992,""logType"":""auto_detected"",""manualValuesSpecified"":{""calories"":false,""distance"":false,""steps"":false},""originalDuration"":2816000,""originalStartTime"":""2020-04-05T11:25:28.000-04:00"",""startTime"":""2020-04-05T11:25:28.000-04:00"",""steps"":2409,""tcxLink"":""https://api.fitbit.com/1/user/-/activities/30135748992.tcx""}],""pagination"":{""afterDate"":""2020-04-05"",""limit"":5,""next"":"""",""offset"":0,""previous"":"""",""sort"":""desc""}}'"
20,1,E418220F-BC56-4FE8-98E9-9DCB05381C3A
21,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
22,0,"b'{""foods-log-water"":[{""dateTime"":""2020-03-31"",""value"":""0.0""},{""dateTime"":""2020-04-01"",""value"":""0.0""},{""dateTime"":""2020-04-02"",""value"":""0.0""},{""dateTime"":""2020-04-03"",""value"":""0.0""},{""dateTime"":""2020-04-04"",""value"":""0.0""},{""dateTime"":""2020-04-05"",""value"":""0.0""},{""dateTime"":""2020-04-06"",""value"":""0.0""}]}'"
23,1,073C963A-9F43-481A-8AD6-892CDD87252A
24,0,"b'{""foods-log-water"":[{""dateTime"":""2020-04-02"",""value"":""0.0""},{""dateTime"":""2020-04-03"",""value"":""0.0""},{""dateTime"":""2020-04-04"",""value"":""0.0""},{""dateTime"":""2020-04-05"",""value"":""0.0""},{""dateTime"":""2020-04-06"",""value"":""0.0""},{""dateTime"":""2020-04-07"",""value"":""0.0""},{""dateTime"":""2020-04-08"",""value"":""0.0""}]}'"
25,1,06E34353-98E0-416B-9A22-82C9221645B4
26,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
27,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
28,0,"b'{""foods-log-water"":[{""dateTime"":""2020-04-03"",""value"":""0.0""},{""dateTime"":""2020-04-04"",""value"":""0.0""},{""dateTime"":""2020-04-05"",""value"":""0.0""},{""dateTime"":""2020-04-06"",""value"":""0.0""},{""dateTime"":""2020-04-07"",""value"":""0.0""},{""dateTime"":""2020-04-08"",""value"":""0.0""},{""dateTime"":""2020-04-09"",""value"":""0.0""}]}'"
29,1,043CBD16-B5A0-45B6-8E26-383F467838D8
30,0,"b'{""foods-log-water"":[{""dateTime"":""2020-04-06"",""value"":""0.0""},{""dateTime"":""2020-04-07"",""value"":""0.0""},{""dateTime"":""2020-04-08"",""value"":""0.0""},{""dateTime"":""2020-04-09"",""value"":""0.0""},{""dateTime"":""2020-04-10"",""value"":""0.0""},{""dateTime"":""2020-04-11"",""value"":""0.0""},{""dateTime"":""2020-04-12"",""value"":""0.0""}]}'"
31,0,"b'{""weight"":[{""bmi"":26.06,""date"":""2020-04-03"",""logId"":1585958399000,""source"":""API"",""time"":""23:59:59"",""weight"":180}]}'"
32,0,"b'{""activities"":[],""pagination"":{""afterDate"":""2020-04-12"",""limit"":5,""next"":"""",""offset"":0,""previous"":"""",""sort"":""desc""}}'"
33,1,4A8B72C1-DDFE-4A4A-8B50-0BDDD82492B8
