elementId,intValue,realValue,stringValue,dataType
12,,2.0,,2
20,,1.0,,2
21,,2.0,,2
22,,1.0,,2
23,,2.0,,2
24,,2.0,,2
25,,2.0,,2
26,,2.0,,2
27,,1.0,,2
28,,4.0,,2
29,,3.0,,2
30,,3.0,,2
31,,3.0,,2
38,,4.0,,2
39,,3.0,,2
40,,5.0,,2
41,,3.0,,2
42,,5.0,,2
48,,3.0,,2
50,,2.0,,2
51,,3.0,,2
52,,2.0,,2
53,,3.0,,2
54,,1.0,,2
55,,2.0,,2
56,,2.0,,2
57,,4.0,,2
58,,4.0,,2
59,,2.0,,2
67,,2.0,,2
68,,2.0,,2
69,,3.0,,2
70,,5.0,,2
71,,3.0,,2
72,,1.0,,2
73,,3.0,,2
74,,2.0,,2
75,,3.0,,2
76,,4.0,,2
77,,4.0,,2
78,,3.0,,2
79,,5.0,,2
80,,3.0,,2
81,,5.0,,2
82,,3.0,,2
83,,3.0,,2
84,,2.0,,2
98,,3.0,,2
99,,3.0,,2
104,,3.0,,2
105,,2.0,,2
106,,2.0,,2
108,,4.0,,2
109,,3.0,,2
110,,3.0,,2
111,,4.0,,2
112,,3.0,,2
114,,4.0,,2
115,,4.0,,2
116,,3.0,,2
117,,5.0,,2
118,,2.0,,2
119,,3.0,,2
120,,5.0,,2
122,,3.0,,2
123,,3.0,,2
124,,5.0,,2
128,,5.0,,2
129,,5.0,,2
130,,5.0,,2
131,,3.0,,2
132,,3.0,,2
133,,5.0,,2
