Uuid,Name,NameOrigin,Address,ResolvedAddress,LastSeenTime,LastConnectionTime,GATTServiceChangeConfig,Tags,iCloudIdentifier
1B6BD2DF-0371-B609-28E2-72AD890A4013,,0,Random E0:41:84:F1:22:70,,498204,0,0,,
7EFA3856-5A93-F8D2-C596-FB34B7BBCCD3,,0,Random EB:DB:04:1F:E1:4A,,498209,0,0,,
90918D42-5C23-F01B-3013-5EBAC115763E,,0,Random DA:73:7C:B1:1D:88,,498203,0,0,,
A1E7311C-1E3E-E70A-17CA-F16DDF52A5F3,,0,Public 14:99:E2:06:58:42,,498199,0,0,,
D652A533-9842-CC59-3858-517DDC6BB8E0,,0,Public B0:34:95:58:60:6F,,498215,0,0,,
D9160498-7AC7-476B-FD68-884162AA377B,,0,Random E8:FC:A8:07:85:8C,,498264,0,0,,
A734A7BE-E077-389C-BF92-7D0C0E4EE2C2,,0,Random F4:FA:DF:3A:11:B0,,530574,0,0,,
EE25277C-2761-7681-BC50-9E4E306769CD,,0,Public 78:9F:70:5D:C8:A5,,548930,0,0,,
A9BBBB89-64BC-1E49-ABC6-E52D7AC90F46,,0,Public D8:E0:E1:5B:D4:F3,,560988,0,0,,
19EAEE38-185E-A4A1-A82A-84ACB9612622,,0,Public 04:69:F8:9F:52:89,,561259,0,0,,
21DEBD64-E697-0540-6B8E-B5EA9CAFA0F8,,0,Random CA:C4:05:34:2C:AF,,561108,0,0,,
383D3BB6-69B7-660D-D780-655C020FEE9E,,0,Random FC:B4:D1:1F:30:37,,561171,0,0,,
6241D96F-493F-5D30-70B8-0B21A95E0CB5,,0,Random DC:55:74:2A:97:19,,561260,0,0,,
B455177B-5A29-FC04-A8CA-FE7A3EE3A2D7,,0,Random DA:FF:BA:97:A4:C3,,561194,0,0,,
F0A8A86C-B4A1-77F7-6FAD-0FA70E59E3B5,,0,Random CE:DD:73:22:C4:31,,561168,0,0,,
F927EF8B-FE28-FF61-BE1A-BB70C6AD1354,,0,Random CB:D1:62:58:2E:67,,561517,0,0,,
5026993A-41D5-3B15-BFF9-AD855FF0BCB5,,0,Public B8:BC:5B:1D:7A:83,,561727,0,0,,
65AE315D-4A26-E6D4-9D68-6F8437919BF5,,0,Public A4:31:35:13:91:7F,,561725,0,0,,
10213496-EF2B-1667-69DF-F9F35039CF27,,0,Public 5C:F9:38:BD:5C:56,,669073,0,0,,
224195E8-AAEE-5760-FED2-F3AE324B9271,,0,Random CE:3B:98:3A:69:22,,668950,0,0,,
31A68C2F-29CF-A4D9-7002-8485F9CC4FBF,,0,Random DA:59:52:20:13:ED,,669057,0,0,,
3D6A9D27-4D45-DDE2-CCBC-D2321E3AD22A,,0,Public 68:64:4B:27:BD:D4,,669075,0,0,,
5235051F-D07D-F275-BAE1-EB7E3C86DE34,,0,Random F3:CD:0A:D6:E5:9F,,668985,0,0,,
64F7E6C1-9BE8-8B67-F925-5975BE39965B,,0,Public 6C:94:F8:ED:42:F3,,669079,0,0,,
7C756DE0-2D8D-1683-B4FB-31DE2328408C,,0,Public 9C:20:7B:8D:A4:A7,,668983,0,0,,
7DB23EA8-0150-737D-BE00-0AD0783154CE,,0,Public 9C:20:7B:E4:DD:5F,,669054,0,0,,
A8871803-71D6-32A7-86B6-C1E858B8B40C,ENVY Photo 6200 series,1,Public 82:CE:62:71:B6:A1,,666721,0,0,,
B280F32C-F920-085A-A253-E8FDD4209A88,,0,Public 18:EE:69:07:94:CB,,669070,0,0,,
B4DBB342-BEF4-977E-02EC-84EB78737858,,0,Random EA:73:04:0D:3C:2F,,666838,0,0,,
D300CFB7-B889-9A0F-637A-C71D419B03F5,,0,Public 68:64:4B:39:77:52,,669062,0,0,,
7CB0EBC0-DD71-08AE-7C7F-C0985651887B,,0,Random CA:AE:F8:F3:86:0A,,712308,0,0,,
7A272D6E-9BA9-057F-8105-74AA4CF9A137,This Is’s AirPods Pro,1,Public 38:EC:0D:E2:49:CF,,744026,0,0,,
B24CB2A1-BC79-8AB8-87DA-03DFEE02F736,,0,Public 70:48:0F:E5:8F:3F,,744037,0,0,,
00ECDB81-308C-AEAD-FDCB-E1E26035DFE7,,0,Public FC:F1:36:20:22:76,,744336,0,0,,
4E5BC195-7E81-6D60-F51A-E5E4405567C9,,0,Public 28:39:5E:8A:59:A3,,744811,0,0,,
60F970BE-8673-10A1-7935-10FCC71ED448,[TV] Samsung 7 Series (65),1,Public 68:27:37:4E:42:C1,,745118,0,0,,
3B3003F7-5406-C438-28A6-7B303B319045,,0,Random F7:3C:49:76:3D:7A,,797416,0,0,,
48342C93-F470-C4BD-0F41-771C4721AA54,,0,Public D8:E0:E1:3D:C3:99,,797411,0,0,,
CD3B22F4-71BD-E381-6495-2D8FC3D57B1C,,0,Public 24:4B:03:2D:CE:AF,,798283,0,0,,
DF0A357E-3D0D-6B33-802A-6D0089FD5767,ALAM (23:E2:6C),1,Public B8:3A:9D:23:E2:6D,,797395,0,0,,
A3E6C910-CBC2-3834-2381-9425EA349461,,0,Random FD:A0:F6:AE:8B:50,,843420,0,0,,
D7BAB041-93BC-B651-3E24-90B895AF9E67,,0,Public BC:54:36:C9:51:2F,,843429,0,0,,
C37FCB26-6E37-90B8-0FD6-AB9107F955EA,,0,Random F3:3B:39:01:4E:B1,,844002,0,0,,
