ID,timestamp,activeBand,airplaneMode,callStatus,campedRat,currentRat,dataStatus,preferredRat,signalBars,signalStrength,simStatus,subsId
44672,1586838258.7750552,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44673,1586838296.787671,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44674,1586838296.8373232,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44675,1586838308.679017,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44676,1586838653.094624,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44677,1586838653.121676,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44678,1586838667.4447532,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44679,1586838867.0892863,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44680,1586838867.1114972,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44681,1586838877.2413151,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44682,1586839180.542313,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44683,1586839180.5449862,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44684,1586839196.617824,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44685,1586839213.696006,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44686,1586839235.556363,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44687,1586839235.587349,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44688,1586839246.8264961,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44689,1586839256.7708793,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44690,1586839256.794642,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44691,1586839268.571362,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44692,1586839706.3174343,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44693,1586839706.3556151,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44694,1586839717.7706542,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44695,1586839747.955389,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
